gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	0	10	11	12	13	14	15	16	17	18	19	1_0	1_1	1_2	1_3	1_4	1_5	2	20	21	22	23	24	25	26	3	4	5	6	7	8	9
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS05760BB78	UBASH3B	0.229	0.053	0.0	0.023	0.082	0.0	0.0	0.079	0.07	0.431	0.082	0.0	0.022	0.089	0.101	0.0	0.0	0.552	0.13	0.075	0.515	0.0	0.08	0.0	0.0	0.126	0.161	0.258	0.14	0.651	0.564	0.126
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.229	0.053	0.0	0.023	0.082	0.0	0.0	0.079	0.07	0.431	0.082	0.0	0.022	0.089	0.101	0.0	0.0	0.552	0.13	0.075	0.515	0.0	0.08	0.0	0.0	0.126	0.161	0.258	0.14	0.651	0.564	0.126
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	SRD5A3	0.019	0.068	0.0	0.0	0.081	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.0	0.057	0.0	0.0	0.0	0.0	0.067	0.052	0.041	0.034	0.0	0.039	0.039
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	SRD5A1	0.025	0.051	0.0	0.044	0.051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.07	0.0	0.0	0.372	0.011	0.0	0.086	0.0	0.0	0.224	0.0	0.0	0.01	0.04	0.015	0.074	0.0	0.029	0.0
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	SRD5A2	0.107	0.0	0.0	0.0	0.0	0.0	0.0	0.121	0.022	0.146	0.0	0.109	0.047	0.112	0.082	0.0	0.0	0.051	0.0	0.0	0.128	0.174	0.171	0.225	0.0	0.082	0.036	0.056	0.035	0.059	0.092	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	DHCR7	0.128	0.131	0.0	0.047	0.0	0.317	0.31	0.208	0.083	0.078	0.073	0.0	0.0	0.0	0.097	0.0	0.0	0.034	0.0	0.029	0.105	0.211	0.189	0.211	0.0	0.126	0.091	0.132	0.094	0.068	0.044	0.069
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	PTGR1	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.027	0.0	0.0	0.0
CYP11A1	P05108	True	CP11A_HUMAN	22Hydroxycholesterol_byCYP11A1	CPI-CS08D535BCF	CYP11A1	0.01	0.0	0.0	0.039	0.033	0.0	0.145	0.0	0.0	0.0	0.038	0.0	0.024	0.0	0.0	0.0	0.0	0.021	0.17	0.0	0.041	0.0	0.0	0.176	0.0	0.008	0.032	0.02	0.0	0.0	0.011	0.05
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	DAGLA	0.691	0.227	0.21	0.436	0.581	0.448	0.657	0.279	0.44	0.444	0.47	0.116	0.319	0.203	0.335	0.482	0.36	0.476	0.224	0.507	0.455	0.0	0.617	0.359	0.0	0.492	0.916	0.652	0.478	0.531	0.778	0.257
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	DAGLA	0.691	0.227	0.21	0.436	0.581	0.448	0.657	0.279	0.44	0.444	0.47	0.116	0.319	0.203	0.335	0.482	0.36	0.476	0.224	0.507	0.455	0.0	0.617	0.359	0.0	0.492	0.916	0.652	0.478	0.531	0.778	0.257
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	DAGLA	0.691	0.227	0.21	0.436	0.581	0.448	0.657	0.279	0.44	0.444	0.47	0.116	0.319	0.203	0.335	0.482	0.36	0.476	0.224	0.507	0.455	0.0	0.617	0.359	0.0	0.492	0.916	0.652	0.478	0.531	0.778	0.257
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	DAGLB	0.171	0.056	0.0	0.098	0.212	0.34	0.219	0.048	0.207	0.232	0.147	0.0	0.131	0.021	0.123	0.225	0.0	0.103	0.533	0.329	0.261	0.197	0.358	0.0	0.0	0.068	0.16	0.097	0.059	0.061	0.298	0.157
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	DAGLB	0.171	0.056	0.0	0.098	0.212	0.34	0.219	0.048	0.207	0.232	0.147	0.0	0.131	0.021	0.123	0.225	0.0	0.103	0.533	0.329	0.261	0.197	0.358	0.0	0.0	0.068	0.16	0.097	0.059	0.061	0.298	0.157
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	DAGLB	0.171	0.056	0.0	0.098	0.212	0.34	0.219	0.048	0.207	0.232	0.147	0.0	0.131	0.021	0.123	0.225	0.0	0.103	0.533	0.329	0.261	0.197	0.358	0.0	0.0	0.068	0.16	0.097	0.059	0.061	0.298	0.157
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	DHRS9	0.018	0.0	0.0	0.0	0.0	0.0	0.145	0.0	0.0	0.0	0.0	0.0	0.082	0.16	0.15	0.0	0.0	0.0	0.0	0.0	0.041	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.008	0.022
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	INHBA	0.022	0.245	0.0	0.0	0.0	0.0	0.301	0.0	0.0	0.063	0.0	0.0	0.08	0.067	0.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.033	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	INHBA	0.022	0.245	0.0	0.0	0.0	0.0	0.301	0.0	0.0	0.063	0.0	0.0	0.08	0.067	0.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.033	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	INHBA	0.022	0.245	0.0	0.0	0.0	0.0	0.301	0.0	0.0	0.063	0.0	0.0	0.08	0.067	0.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.033	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	INHBA	0.022	0.245	0.0	0.0	0.0	0.0	0.301	0.0	0.0	0.063	0.0	0.0	0.08	0.067	0.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.033	0.0	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	INHBB	0.022	0.245	0.0	0.0	0.0	0.0	0.301	0.0	0.0	0.063	0.0	0.0	0.08	0.067	0.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.033	0.0	0.0	0.0
