cluster	gene	p_val_adj	p_val	avg_log2FC	pct.1	pct.2
6_2	OTP	5.39415966157381e-07	4.85391852926645e-11	8.0356713286528	0.8	0
6_2	NRN1	0.000359746889182029	3.23717168345208e-08	4.31621226824595	0.7	0.021
6_2	SLIT3	0.000701004840735493	6.30797121151348e-08	4.60767657876858	0.9	0.146
6_2	SIM1	0.00483976705016822	4.35504998665367e-07	6.98463330566901	0.5	0
6_2	IL1RAP	0.00521737853389247	4.69484255726849e-07	4.99415689964013	0.6	0.021
6_2	OCEL1	0.0495191229834291	4.45596355470432e-06	3.25705028460486	0.7	0.083
6_0	BCL11A	0.0456274712334149	4.10577442935435e-06	2.3974859066829	0.778	0.194
6_1	MC5R	0.0173444566208324	1.56073577079388e-06	5.12851192638798	0.556	0.025
6_3	DCUN1D3	1.58333147815011e-05	1.42475612179439e-09	7.88142451440595	0.667	0
6_3	PSMA3	5.74964744336572e-05	5.17380315249322e-09	5.71378025466717	1	0.036
6_3	ROBO1	0.00402464867721648	3.62156814291053e-07	4.98014307538316	1	0.073
6_3	GSG1L	0.0086975542682352	7.82646834179357e-07	6.79564493306066	0.667	0.018
6_3	GLRX5	0.0138473723549179	1.24605168315647e-06	5.14798678442442	0.667	0.018
