cluster	gene	p_val_adj	p_val	avg_log2FC	pct.1	pct.2
13	ACAN	2.65094455574469e-164	2.38544457459254e-168	7.88138008070246	0.686	0.007
13	PHLDA2	4.45222411387192e-116	4.00632062797797e-120	6.86526910908222	0.549	0.009
13	CSPG4	2.8795423893133e-96	2.59114765528057e-100	6.47355117690503	0.49	0.009
13	CPM	5.80331562390594e-88	5.22209630514347e-92	6.54232579180457	0.431	0.007
13	ZCCHC24	1.7142184345926e-86	1.54253436029209e-90	5.582952431086	0.588	0.021
13	DNMT3B	1.61262411185258e-80	1.45111501111543e-84	4.07592189197611	0.706	0.038
13	PLOD2	3.74658104365294e-75	3.37134980981998e-79	6.68270702392787	0.353	0.005
13	PLEKHA4	1.80150596365025e-74	1.62107978372199e-78	7.18746214194326	0.314	0.003
13	USP28	1.12605409402246e-63	1.01327642762751e-67	5.9863550675698	0.314	0.005
13	TRAF4	1.86178257884442e-63	1.67531951664215e-67	5.36153097572205	1	0.167
13	WNT7A	7.35691257111261e-63	6.62009589769874e-67	5.74206197368977	0.392	0.011
13	ETV4	4.37555626859987e-60	3.93733129541966e-64	4.88568307689145	0.412	0.014
13	ANTXRL	1.26955589484893e-59	1.14240609632766e-63	5.05656994664332	0.373	0.011
13	SERPINE2	2.99486953792905e-59	2.69492444698016e-63	3.83337116323115	0.627	0.044
13	PREX2	3.15911191231512e-58	2.84271745911556e-62	3.37392091579395	0.686	0.054
13	ITGA4	1.1408644671619e-52	1.02660349785107e-56	6.05133003644092	0.294	0.006
13	DISC1	4.25298530739997e-52	3.82703618050928e-56	3.94199214063762	0.51	0.031
13	TM4SF1	1.2164771664872e-47	1.0946433604672e-51	7.52736063725957	0.196	0.001
13	SYT9	4.17504427827088e-47	3.75690117724366e-51	3.95166900160938	0.882	0.151
13	SEMA5A	4.43382688855082e-47	3.98976593948602e-51	5.10053764007767	1	0.268
13	CD82	2.94867571477306e-46	2.65335707259341e-50	2.85381563297918	0.745	0.083
13	PHLDB2	7.46826563699122e-45	6.72029662286621e-49	6.28430234214229	0.255	0.006
13	OLIG2	3.64292315510251e-42	3.27807356708585e-46	3.06991788110456	0.49	0.036
13	SOX5	3.94301131075473e-42	3.548107001489e-46	3.11846813985973	1	0.227
13	IL16	3.44722561446181e-41	3.10197571714371e-45	4.50016630923551	0.353	0.017
13	MDK	3.85574124461349e-39	3.4695772920125e-43	3.14950470715796	0.725	0.102
13	RGCC	4.56153140318112e-39	4.10468046718358e-43	4.62751026802601	0.294	0.011
13	BCAN	1.65701379038803e-38	1.4910589313309e-42	3.84067314962365	0.706	0.099
13	COBL	1.15373380697509e-37	1.03818393500863e-41	3.28438705763487	0.392	0.024
13	SOX10	1.76735397764807e-37	1.59034822068575e-41	2.039882321504	0.529	0.048
13	IQGAP1	4.87259901947201e-37	4.38459373658958e-41	3.75319077690655	0.431	0.032
13	KIAA1549	1.47021179233521e-34	1.32296570893118e-38	3.65072815088296	0.765	0.143
13	AMPD3	2.04973897955545e-34	1.84445152484068e-38	7.09581371312765	0.176	0.003
13	NOTCH1	2.88105136117675e-34	2.59250549912423e-38	1.57881116082218	0.569	0.065
13	DSCAM	1.110523083961e-33	9.99300894412854e-38	5.84833000386225	1	0.436
13	METRN	1.32146691081012e-32	1.18911806965727e-36	5.67485427574331	0.216	0.006
13	COL9A2	4.27542066249384e-32	3.84722456806788e-36	6.95673019787066	0.157	0.002
13	DSCAML1	4.46224690094256e-32	4.01533960311577e-36	3.30416875123814	1	0.444
13	SOX8	1.99569283026111e-31	1.79581825813111e-35	3.61750036131086	0.333	0.021
13	WNT7B	3.11512889494969e-31	2.80313947174453e-35	3.50486096090451	0.471	0.048
13	PLTP	1.10033830747753e-30	9.90136153583665e-35	3.75717186372325	0.373	0.028
13	FCHSD2	2.66122227275362e-30	2.39469294767715e-34	3.0295823319675	0.941	0.323
13	PTPRM	8.21478144637593e-30	7.39204665380719e-34	3.01930604001908	0.804	0.18
13	GRIA4	9.64990180557094e-30	8.68343544098888e-34	2.75328793154755	0.961	0.327
13	PICALM	2.15047526917829e-28	1.93509877546863e-32	4.33683293802417	0.98	0.391
13	KIF13A	2.97296270793619e-28	2.67521165116187e-32	3.30374087793207	0.529	0.068
13	TIMP4	4.2304222337119e-28	3.80673286575353e-32	2.98630492585826	0.529	0.068
13	LIPG	1.05774943870876e-26	9.51812686681153e-31	4.34619088210795	0.314	0.023
13	ARHGAP17	1.49286428851793e-26	1.34334949025279e-30	1.38064494797973	0.627	0.107
13	SH3RF1	1.5045519842054e-25	1.35386662845802e-29	3.21057757841448	0.549	0.085
