cluster	gene	p_val_adj	p_val	avg_log2FC	pct.1	pct.2
0	ISLR	2.45393859822471e-44	2.2081693496128e-48	2.35887564252374	0.835	0.346
0	GAD2	2.5004979899078e-37	2.25006567975146e-41	2.16261684145359	0.613	0.188
0	SHISA6	1.98736461910879e-34	1.78832414209375e-38	2.71126147239706	0.695	0.265
0	SLC32A1	3.06456128600069e-32	2.75763635921956e-36	1.81068177518679	0.65	0.254
0	NRP1	9.28272294752171e-30	8.35303063756115e-34	1.74380317507803	0.786	0.338
0	GRIN2A	6.42718073138918e-29	5.78347946674092e-33	1.60315443550491	0.885	0.478
0	GABRA3	2.04227949167144e-27	1.83773912685273e-31	1.30269650816976	0.658	0.227
0	ADCYAP1R1	2.95686661561505e-27	2.66072763035639e-31	1.20994908591843	0.807	0.369
0	SLC6A1	3.34540896591062e-27	3.01035630874707e-31	1.26336428668597	0.947	0.582
0	FIBCD1	1.06637176152527e-26	9.59571458224846e-31	1.46673636166544	0.663	0.249
0	GAD1	1.35051627170963e-26	1.21525805067005e-30	2.65402416286091	0.617	0.24
0	GLRA1	8.9396442080146e-26	8.04431225412994e-30	1.56885551435173	0.613	0.22
0	HPCAL4	9.73604665075883e-26	8.76095262373691e-30	1.34976750993406	0.65	0.239
0	GRID1	3.64066596501699e-24	3.27604244130027e-28	1.18593963620184	0.959	0.725
0	NOVA1	4.97542826990858e-24	4.47712433178132e-28	0.906133799856542	0.984	0.862
0	ALDOC	1.18722839746771e-23	1.06832394265069e-27	1.06466294254875	0.852	0.492
0	CAMTA1	2.08099759494488e-23	1.87257949693592e-27	1.16724234088353	0.823	0.43
0	ATP1B1	3.91705391759055e-23	3.52474931844736e-27	1.8284148754693	0.844	0.504
0	SV2A	4.13609753146372e-23	3.72185506295664e-27	0.996301922134245	0.868	0.438
0	ATP13A5	4.58199564484102e-23	4.1230951541807e-27	1.70780416780132	0.971	0.754
0	CABP7	5.2881829549009e-23	4.75855570494097e-27	2.33456783523205	0.436	0.114
0	SYT2	2.97154597150044e-22	2.67393680509353e-26	1.51870101329581	0.802	0.452
0	LRP1B	1.18116601623207e-21	1.06286872692529e-25	1.13004770949842	0.864	0.484
0	GRIN2D	6.15336881724657e-21	5.5370906301148e-25	1.06002984136032	0.737	0.334
0	DKK3	1.56247559710824e-20	1.40598901926414e-24	1.58287914699431	0.247	0.034
0	PPARGC1A	1.56590370072948e-20	1.40907378811255e-24	1.34115695818455	0.436	0.133
0	FGF14	1.95923746372584e-20	1.76301400497241e-24	1.00242997133969	0.852	0.473
0	PCDH17	2.94082657624238e-20	2.64629404862987e-24	1.12710243961662	0.774	0.415
0	LRFN5	1.18981233596932e-19	1.07064909202674e-23	1.03855142675392	0.749	0.372
0	ALK	1.64724103414123e-18	1.48226494568634e-22	0.941363881155208	0.807	0.445
0	FXYD6	3.18530864935649e-18	2.86629051503328e-22	1.07770239345074	0.737	0.359
0	ZFHX3	7.08701056326716e-18	6.37722537862607e-22	1.25731617735065	0.584	0.253
0	CACNA2D2	7.72534120801504e-18	6.95162531091068e-22	0.929958875232203	0.877	0.523
0	MGAT4C	1.11626504072602e-17	1.00446777713131e-21	0.949347464182408	0.667	0.311
0	GRIK5	2.54172678091074e-17	2.28716528472126e-21	0.757706498467535	0.893	0.58
0	ATP6V0C	2.73835617307436e-17	2.46410165848498e-21	0.952582323200534	0.938	0.674
0	CACNG3	6.21261879242026e-17	5.59040654406574e-21	0.901782420453473	0.58	0.232
0	ANK1	7.18565581164334e-17	6.46599101200696e-21	0.855692171830947	0.909	0.609
0	RCAN3	1.08883375155743e-16	9.79783813153449e-21	0.965844295746525	0.679	0.322
0	PRKCE	1.16672387906999e-16	1.04987301275083e-20	0.84235085603739	0.638	0.26
0	NRG2	1.24419843312863e-16	1.1195882598116e-20	1.3311140448188	0.724	0.382
0	INPP4B	1.25666796646229e-16	1.13080893229757e-20	1.06270760234403	0.572	0.231
0	NRXN2	2.47214706572066e-16	2.22455418493715e-20	0.772488402675441	0.996	0.817
0	SCAMP5	2.53140587839156e-16	2.27787805128368e-20	0.817446263617862	0.807	0.428
0	MAP1A	3.01418813463022e-16	2.7123082287683e-20	0.757507912402407	0.951	0.746
0	KIRREL1	3.39555908405018e-16	3.05548374340878e-20	1.06641546595766	0.782	0.449
0	EEF2	5.63365224653419e-16	5.06942521959344e-20	0.838728305824556	0.687	0.343
0	DOC2B	7.84790153063626e-16	7.06191085272767e-20	0.834428057642293	0.609	0.255
0	YWHAG	8.33871659286022e-16	7.50356932678864e-20	1.00647573606972	0.885	0.618
0	SLITRK1	9.71647652440977e-16	8.74334250374316e-20	0.63985049307788	0.774	0.381
0	LRRC4C	1.03582016552074e-15	9.32079695420447e-20	0.883414147756885	0.914	0.567
0	ATP6V1B2	1.43752679179186e-15	1.29355420839724e-19	1.08501948996441	0.453	0.155
0	CYB561	1.55882194786592e-15	1.40270129385937e-19	1.3687433707317	0.399	0.124
0	ATP6V1A	1.56301946354375e-15	1.40647841585868e-19	1.07943005014464	0.568	0.244
0	HSPA12A	2.54475945822745e-15	2.28989423038554e-19	0.950478563346865	0.465	0.168
0	CACNA1I	3.01925249673111e-15	2.71686537994341e-19	1.0860486948929	0.584	0.266
0	OPRL1	3.19355848358682e-15	2.87371410383048e-19	1.0450736917733	0.551	0.232
0	ZFHX4	4.19206138724146e-15	3.77221397214205e-19	1.24282934406148	0.547	0.239
0	SCN4B	4.5577998230934e-15	4.10132261593935e-19	1.88108377756619	0.362	0.108
0	SEMA6B	5.29318284463834e-15	4.76305484085156e-19	0.853653832037941	0.807	0.472
0	SNAP25	7.23860709042712e-15	6.51363906274374e-19	0.64173576021042	0.996	0.859
0	PKM	1.0010490585412e-14	9.00791018213983e-19	0.951079296896806	0.667	0.324
0	STMN2	1.06228118218007e-14	9.55890562566425e-19	0.850560017720465	0.84	0.525
0	ZNF385C	1.74423039063612e-14	1.56954052968246e-18	1.02368977944824	0.576	0.247
0	CALML3	3.15229694028325e-14	2.83658502680037e-18	0.427797766368229	0.963	0.798
0	SYNGR3	6.55647863617073e-14	5.89982780182735e-18	0.772760935088081	0.84	0.509
