cluster	gene	p_val_adj	p_val	avg_log2FC	pct.1	pct.2
6_0	LRP8	0.0199300019289698	1.79339529640689e-06	4.92917501642522	0.806	0.342
6_0	BCL11A	0.025943508728807	2.33451891737668e-06	3.31463275098666	0.677	0.158
6_3	NDNF	8.76021860638186e-06	7.88285666011146e-10	6.04240374002662	0.7	0.017
6_3	NELL1	0.000767051366727537	6.90228891143289e-08	3.67411082522216	1	0.271
6_3	MAP7D3	0.000795442781406494	7.1577682120624e-08	4.08641868343823	0.7	0.051
6_3	MTNR1A	0.00518355083526859	4.66440280326517e-07	7.13091220082602	0.5	0.017
6_3	VAX1	0.00518355083526859	4.66440280326517e-07	5.98462141019763	0.5	0.017
6_3	CRHR1	0.0125629501983017	1.1304733373798e-06	4.84029831861347	0.8	0.169
6_3	CDH11	0.0163210479767138	1.46864464831403e-06	2.84286137465375	1	0.644
6_3	CACNA2D2	0.0301783728547959	2.71559190630755e-06	3.06252317381964	1	0.729
6_2	SLIT3	0.00031710949186014	2.85350033168488e-08	3.86232483134649	0.769	0.089
6_2	OTP	0.0016093524571765	1.44817102238505e-07	8.35149683478922	0.462	0
