cluster	gene	p_val_adj	p_val	avg_log2FC	pct.1	pct.2
6_0	ESR2	5.982457000031e-05	5.38329613968415e-09	5.71149505286971	0.5	0.03
6_0	LRP8	0.000336230782593063	3.02556269767896e-08	4.05081616636994	0.778	0.299
6_0	BCL11A	0.000376419873715794	3.38720303892553e-08	2.46474364413508	0.667	0.119
6_0	NXPH3	0.000923146203857265	8.306903661093e-08	4.16091890773307	0.528	0.06
6_0	ADAMTS2	0.00158458845601714	1.4258872095898e-07	4.11084738936417	0.444	0.03
6_0	RGMB	0.00204599153232687	1.84107939559694e-07	7.63808028336064	0.361	0
6_0	CDH4	0.0024363066827404	2.19230332290146e-07	1.92516197852136	0.833	0.448
6_0	PCDH15	0.00311944715858493	2.8070252484342e-07	2.34848452962919	0.75	0.328
6_0	RFTN1	0.00690669864847602	6.2149722383479e-07	8.00127785633653	0.333	0
6_0	CSMD3	0.00979473714412379	8.81376508964617e-07	1.47180925825728	0.917	0.597
6_0	NFIB	0.0228629329052979	2.05731421805974e-06	7.55333918040382	0.306	0
6_1	SOX5	0.00170347448639215	1.53286645045636e-07	2.26160699714941	0.667	0.141
6_1	ATRNL1	0.00838832681793107	7.54821094027811e-07	2.13606059505294	0.846	0.516
6_1	HMX3	0.0285374733024139	2.56793604808908e-06	3.8979161092903	0.513	0.109
6_1	SORCS3	0.0335936146348856	3.02291142219793e-06	2.5459321749054	0.821	0.406
6_2	OTP	7.38477261418601e-10	6.64516567460272e-14	4.00408768727781	0.733	0.023
6_2	SIM1	4.90425544738723e-07	4.41307967910306e-11	8.63651191393023	0.467	0
6_2	FOS	0.00100506658301248	9.04406175661365e-08	2.41709269244629	0.8	0.148
6_2	OSBPL10	0.00116121878466536	1.04491926992294e-07	2.77332832595198	0.667	0.091
6_2	ACVR1C	0.00866731191119595	7.79925484675241e-07	6.45463647415207	0.333	0.011
6_2	CNPY3	0.0105467510058584	9.49046252664303e-07	7.4769398745798	0.267	0
6_2	SLC2A1	0.0105467510058584	9.49046252664303e-07	6.77330482988698	0.267	0
6_2	SH3D19	0.0105467510058584	9.49046252664303e-07	6.43615641680471	0.267	0
6_2	DHTKD1	0.0105467510058584	9.49046252664303e-07	6.91023367128841	0.267	0
6_2	GPR142	0.0105467510058584	9.49046252664303e-07	7.86106416673483	0.267	0
6_2	DSCAML1	0.0139885117397541	1.25875206872619e-06	2.58543849051299	0.667	0.136
6_2	IQSEC1	0.0143053685239082	1.28726433221526e-06	2.67789302668166	0.867	0.295
6_2	ATF2	0.0155456329623121	1.39886915885108e-06	3.92969051319141	0.333	0.011
6_2	OSBPL3	0.0345763114059834	3.1113390988917e-06	3.26027182477828	0.533	0.08
6_2	BAIAP2L1	0.0464199239840275	4.17708305444322e-06	2.97639642517128	0.533	0.08
6_3	NDNF	4.79101106851282e-07	4.31117706156108e-11	10.4127452513865	0.462	0
6_3	LRRC9	0.000216093498700367	1.94451092144665e-08	6.86894251884229	0.462	0.022
6_3	ZFHX3	0.0124200082101901	1.11761074509044e-06	2.45223329765204	1	0.478
6_3	CRHR1	0.0204342247097593	1.83876763338067e-06	3.37084940958943	0.769	0.222
6_3	SIX6	0.0340226504188179	3.06151807962008e-06	5.5925292549176	0.308	0.011
6_3	PENK	0.0340226504188179	3.06151807962008e-06	6.58375584795568	0.308	0.011
