cluster	gene	p_val_adj	p_val	avg_log2FC	pct.1	pct.2
17	NR5A2	2.99707210408236e-140	2.6969064195828e-144	7.35427015818043	0.628	0.008
17	CALB2	7.07013392107972e-70	6.36203898234475e-74	4.91012918212796	0.884	0.078
17	FGF10	4.37017158024009e-51	3.93248589961315e-55	6.94933847687059	0.233	0.003
17	ZIC2	1.46296799090769e-46	1.31644739575964e-50	4.15018464250646	0.907	0.138
17	LHX9	8.88590328386676e-43	7.99595364336072e-47	3.37997445440609	0.744	0.082
17	GPC3	8.97855790009529e-42	8.07932862421964e-46	4.15211307804682	0.907	0.164
17	ADRB2	2.67605969962518e-38	2.4080443621211e-42	4.92737184405835	0.512	0.041
17	ZIC1	1.07255604298807e-35	9.65136365507129e-40	2.89996378360268	0.93	0.173
17	HEPACAM2	1.10156830488119e-34	9.91242963089347e-39	5.20607614244754	0.209	0.005
17	ZIC5	3.13000958211428e-34	2.8165298138345e-38	3.53917471222813	0.558	0.054
17	LYPD1	1.06495907542389e-32	9.58300256837835e-37	3.24282502503662	0.791	0.133
17	NOS1	2.15476808897039e-29	1.93896165659173e-33	3.00703930931387	0.814	0.155
17	TCF7L2	4.28978609660122e-29	3.86015126122669e-33	2.65247382146198	1	0.301
17	ZIC3	5.53291799081592e-26	4.97877979916847e-30	2.65188285341931	0.837	0.181
17	NTNG1	7.44092020055583e-26	6.695689913215e-30	3.38337172768898	1	0.369
17	CPNE2	4.4283568031142e-22	3.98484369937389e-26	2.89266443582047	0.953	0.33
17	TMEM163	5.80551734315299e-19	5.22407751566003e-23	2.78596367308261	0.93	0.328
17	CARMIL3	6.01706363965029e-18	5.41443682142562e-22	3.15772701605252	0.86	0.296
17	OLFM1	8.74621075141152e-18	7.87025173347568e-22	2.3942124094149	0.977	0.521
17	EPHA5	1.34050757117608e-16	1.20625175126076e-20	2.50350372988789	0.791	0.225
17	ZXDA	5.06630483407724e-16	4.55889933778209e-20	2.93437468202883	0.558	0.111
17	HTR2C	1.16890447277353e-15	1.05183521350988e-19	2.09907361086019	0.884	0.33
17	MAFK	1.32506711881016e-15	1.1923577061191e-19	4.58782724612732	0.163	0.008
17	CHRNA7	1.64638776267554e-15	1.48149713189557e-19	4.1879329484468	0.163	0.008
17	ZNF423	5.01610617116825e-15	4.51372822025398e-19	2.29230455638695	0.744	0.218
17	ERBB4	6.11365037436901e-15	5.50135010741385e-19	2.85453763452598	1	0.633
17	KCNH4	1.89913081665552e-14	1.70892721736301e-18	2.84610295135592	0.465	0.083
17	ROR1	2.03436853049834e-14	1.83062047196827e-18	3.25847812087596	0.279	0.029
17	CBLN2	2.4910325852674e-14	2.24154826353586e-18	2.47282583838685	0.581	0.126
17	NXPH4	2.55904036993241e-14	2.3027448663119e-18	2.56692462202642	0.581	0.129
17	R3HDM1	3.03769508126039e-14	2.73346088478394e-18	2.09131691862586	0.953	0.537
17	CHRM3	4.69652535911821e-14	4.22615437696231e-18	2.96594685053418	0.442	0.075
17	SORCS3	2.19170259355177e-12	1.97219706069627e-16	1.02872626334874	0.953	0.37
17	PCP4	3.08773252396655e-12	2.778486928792e-16	1.9937856401252	0.535	0.113
17	TNR	2.08347114245091e-11	1.8748053113029e-15	1.78075658287311	0.837	0.332
17	HCN2	3.49841463204716e-11	3.14803800238204e-15	2.95122617092441	0.465	0.101
17	CACNA1B	4.38212819584312e-11	3.94324502460462e-15	1.38044714276259	0.953	0.424
17	AGTR1	5.60576228987615e-11	5.04432852503928e-15	4.06163550923347	0.116	0.005
17	CDH24	1.23502277395175e-10	1.11133157018964e-14	2.21432459673839	0.86	0.397
17	PROM1	2.28594060805011e-10	2.05699685777928e-14	1.9279546212611	0.651	0.198
17	TAFA1	3.12597287975434e-10	2.81289739922104e-14	1.90124719966009	0.721	0.247
17	AXIN2	4.70058591440811e-10	4.22980825556386e-14	1.62338963643231	0.744	0.245
17	KCNH1	9.34262740522373e-10	8.4069354856688e-14	1.6682752986757	0.674	0.202
17	SEMA3B	9.57350980560123e-10	8.61469432700551e-14	3.12571789268192	0.326	0.054
17	PLXNB2	1.00344232363455e-09	9.02944590690678e-14	3.13870156525279	0.837	0.478
17	MDGA1	1.3676653468052e-09	1.23068959489355e-13	1.73043575450732	0.721	0.257
17	CPLX3	1.64596914552178e-09	1.48112044049472e-13	2.25895012523631	0.256	0.033
17	ZBTB18	2.14423089792705e-09	1.92947979656893e-13	1.49888026728887	0.674	0.2
17	PTPRS	2.26100778673419e-09	2.03456113266822e-13	1.12845539903629	1	0.725
17	PDLIM4	2.44779403467054e-09	2.20264018237248e-13	2.89125546722699	0.233	0.028
17	CDH4	4.1796781733422e-09	3.76107097394241e-13	1.45856157416329	0.93	0.46
17	PRKCA	5.17743283613337e-09	4.65889753993825e-13	2.0303631673197	0.907	0.547
17	CNIH3	9.81070629106221e-09	8.82813487902655e-13	0.998711079551699	0.837	0.321
17	NRN1	1.2209323044727e-08	1.0986523031339e-12	1.34988474056886	0.791	0.3
17	RAB26	2.14878288623666e-08	1.93357588971174e-12	2.42659785854348	0.628	0.21
17	SORCS2	2.37190297198057e-08	2.13434983531051e-12	1.40948201547268	0.953	0.54
17	CACNG3	2.44718155032316e-08	2.20208904015402e-12	1.99923521884043	0.674	0.243
17	ELAVL2	2.49917068959901e-08	2.24887131251598e-12	1.40035847741068	0.93	0.463
17	SYT9	3.14331258687495e-08	2.82850048310533e-12	1.88778592117055	0.558	0.162
17	SHISA8	4.0270655267096e-08	3.62374293773922e-12	1.93945805727347	0.791	0.352
17	SLC17A6	4.61635262703634e-08	4.15401118243169e-12	1.47084667643811	0.953	0.49
17	KCNB2	5.00584260527693e-08	4.50449258101047e-12	2.9668715735278	0.395	0.094
17	KREMEN1	1.00543706488433e-07	9.04739552671944e-12	3.02029575221296	0.256	0.04
17	PTPRF	1.32575198797439e-07	1.19297398359974e-11	1.61088443115918	0.884	0.511
17	SPSB4	2.66257812976283e-07	2.39591301157458e-11	1.85936412154679	0.674	0.245
17	CPNE4	2.94769318454163e-07	2.6524729456867e-11	1.77797676928141	0.651	0.261
17	DOCK4	3.62955498333133e-07	3.26604425747443e-11	1.38711048913976	0.884	0.466
17	TSHZ2	4.20044483916724e-07	3.77975779642512e-11	2.29883646819009	0.395	0.094
17	MYT1L	5.70036472302817e-07	5.12945624316402e-11	1.55443946768782	0.814	0.371
17	GALNT9	5.92696009726859e-07	5.33335741678087e-11	1.78399200228322	0.744	0.348
17	PLCB4	1.16290218683885e-06	1.04643407436232e-10	1.45435721981463	0.767	0.326
17	CSPG4	1.18919012278242e-06	1.07008919534097e-10	2.83104098848002	0.163	0.017
17	B4GALNT4	1.66950251520951e-06	1.50229687322011e-10	1.90402382663668	0.791	0.395
17	EDIL3	1.80068285388406e-06	1.62033911084681e-10	1.28234706201106	0.767	0.312
17	MTNR1A	1.80420250203724e-06	1.62350625577004e-10	2.10597843871782	0.419	0.108
17	GRIA3	2.46897064761824e-06	2.22169589455434e-10	1.59284945911618	0.953	0.547
17	FRRS1	2.82424246874652e-06	2.54138618622021e-10	2.60743969657572	0.209	0.03
17	IGFBP4	2.93109373574248e-06	2.63753598105145e-10	1.90916159173859	0.465	0.133
17	ATRNL1	3.23285371047681e-06	2.90907379688366e-10	1.60216032977431	0.93	0.578
17	B4GALT2	3.87362439907674e-06	3.48566939537186e-10	1.21290024798616	0.884	0.507
17	CEP112	5.40467913444958e-06	4.86338444564886e-10	1.54639446387913	0.512	0.158
17	NCOA3	7.48581007246144e-06	6.73608393094704e-10	1.23434118200431	0.651	0.25
17	NXPH3	8.41786407101767e-06	7.57478994962447e-10	1.97918544436817	0.488	0.154
17	ZHX2	1.23337783502984e-05	1.1098513767928e-09	1.00789345944953	0.907	0.483
