cluster	gene	p_val_adj	p_val	avg_log2FC	pct.1	pct.2
6_1	ECEL1	0.000663231152232224	5.9680657989042e-08	3.76954777565747	0.692	0.071
6_1	TRHR	0.00678442654802397	6.10494605239266e-07	3.4391405434919	0.692	0.143
6_1	SOX5	0.0155552683766309	1.39973619874299e-06	4.00569867042532	0.692	0.167
6_2	NRN1	0.0031654093801192	2.84838421679042e-07	5.66079939256562	0.571	0.037
6_2	RND2	0.00397727317122875	3.57893743474197e-07	4.33696895099001	0.643	0.056
6_2	PPP1R1A	0.00950916633625216	8.55679504746887e-07	3.56403345117148	0.714	0.093
6_2	PCBP4	0.0095356856880795	8.5806584073423e-07	2.87579342474639	0.857	0.241
6_2	SIK1	0.0208105047759043	1.87262708322723e-06	4.16856095087202	0.571	0.056
6_0	GFRA4	0.0094362178320476	8.49115255290884e-07	1.65782883400023	0.909	0.348
6_0	SDK2	0.0134571410987524	1.21093683962498e-06	2.83226283162585	0.955	0.435
6_3	NDNF	3.17012691661017e-10	2.8526292779719e-14	6.83845357738231	1	0.016
6_3	RSPO4	0.000211369068862121	1.90199828005148e-08	9.68944824601665	0.5	0
6_3	CRHR1	0.00781865631375357	7.03559463129089e-07	4.40010412695981	1	0.21
6_3	TKT	0.0155840088798906	1.40232240438141e-06	5.63800194954404	0.5	0.016
6_3	PLCE1	0.0155840088798906	1.40232240438141e-06	5.36781917529196	0.5	0.016
6_3	DPF1	0.0191635871227148	1.72442968799738e-06	4.54937783350364	0.833	0.113
6_3	ARX	0.0198636014269548	1.78742026698055e-06	4.19728006453307	0.667	0.048
6_3	ZNF462	0.0387278493857158	3.48491400933284e-06	4.0143790885057	1	0.306
