cluster	gene	p_val_adj	p_val	avg_log2FC	pct.1	pct.2
0	ATP13A5	1.30328298442472e-62	1.17275531757826e-66	1.57278245863119	0.976	0.707
0	SHISA6	1.90058450270992e-59	1.71023531243581e-63	2.71954844286426	0.728	0.246
0	ISLR	4.07340416056711e-52	3.66544061960506e-56	1.43145865616241	0.807	0.334
0	GLRA1	1.07835015764248e-50	9.70350182347234e-55	1.80376246287955	0.586	0.162
0	NRP1	8.81954189002599e-48	7.93623854047151e-52	1.88594628826222	0.761	0.326
0	GAD2	1.87082616611238e-47	1.68345736174964e-51	1.94151635840803	0.592	0.19
0	ANK1	1.45585836098981e-46	1.31004981642203e-50	1.30991632264546	0.949	0.587
0	GRIN2A	1.62457265957078e-46	1.46186687624474e-50	1.53778266578819	0.882	0.43
0	PCDH17	2.97927425657235e-44	2.68089107943161e-48	1.70158070778147	0.816	0.37
0	HPCAL4	5.35415187491847e-43	4.81791764142758e-47	1.32107065381558	0.677	0.237
0	SLC6A1	1.68835927378279e-42	1.51926507134238e-46	0.887802146282138	0.906	0.497
0	GRID1	2.1411602682041e-42	1.92671669954476e-46	1.53762937195276	0.967	0.688
0	ALK	4.27891300504312e-42	3.85036714212465e-46	1.15059175374001	0.834	0.409
0	GRIN2D	1.05021324883495e-41	9.45031268635782e-46	1.25462371226972	0.749	0.296
0	ADCYAP1R1	1.77608317044559e-41	1.59820315886403e-45	1.1328714539192	0.798	0.333
0	SYT2	5.11996240470606e-41	4.60718294313512e-45	1.67181647467873	0.819	0.445
0	GRIK5	5.3792801195552e-41	4.84052921763269e-45	0.964982233546599	0.934	0.531
0	LRRC4C	1.11102833382237e-40	9.99755541997994e-45	1.42217379109028	0.894	0.523
0	LRP1B	3.49982756615371e-40	3.14930942693576e-44	1.24624270595864	0.864	0.449
0	CAMTA1	2.2010725437714e-38	1.98062858253523e-42	1.27743183005155	0.819	0.412
0	SLC32A1	4.11726156026768e-37	3.70490557029396e-41	1.56057018798546	0.64	0.275
0	ATP1B1	2.69995704255728e-36	2.42954831508799e-40	1.7779632635361	0.855	0.502
0	CACNG3	1.40558489898697e-35	1.26481139115178e-39	1.08223323975709	0.625	0.219
0	SV2A	1.65599631920369e-35	1.49014336291162e-39	0.999100200514422	0.864	0.438
0	CR2	2.67814221047273e-35	2.4099183033139e-39	0.771078551690346	0.873	0.449
0	GABRA3	4.00873955321791e-35	3.60725236499407e-39	1.15501772714803	0.607	0.212
0	FIBCD1	1.36016475089342e-34	1.22394020596907e-38	1.40118848120341	0.656	0.263
0	SLC4A11	3.88212572369636e-34	3.49331928704793e-38	0.75814259487837	0.894	0.42
0	NRXN2	5.14015382413757e-34	4.62535213186139e-38	0.852622181828712	1	0.792
0	GALNT16	7.75577862772746e-34	6.97901433251818e-38	1.14711047884546	0.604	0.207
0	SORCS3	2.55697966793127e-33	2.30089054974469e-37	1.10826010118375	0.743	0.361
0	HSPA12A	9.53960136361363e-33	8.58418191632649e-37	1.34853361205984	0.505	0.161
