cluster	gene	p_val_adj	p_val	avg_log2FC	pct.1	pct.2
6_3	VAX1	4.42072870327879e-05	3.97797957642292e-09	6.18946693898621	0.833	0.022
6_3	LRRC9	8.21024534785306e-05	7.38796485904172e-09	6.15105723076233	0.833	0.022
6_3	NR2F2	0.000486743811763014	4.37994971441567e-08	4.65061433965647	1	0.109
6_3	SCUBE3	0.014140281522016	1.27240902744677e-06	5.36622258537371	0.833	0.087
6_3	NDNF	0.014140281522016	1.27240902744677e-06	5.28644964899988	0.833	0.087
6_3	CRHR1	0.0161657260936989	1.45466805486358e-06	4.77116005542192	1	0.217
6_2	OTP	1.07120028970666e-05	9.63916394948853e-10	8.60569128679036	0.778	0
6_2	FAM114A1	0.00467365259502023	4.20557238821222e-07	6.125075099243	0.556	0
6_2	CREB3L1	0.0079191415209732	7.12601594616503e-07	4.83915465747919	0.778	0.07
6_2	CFAP69	0.0089994744309868	8.09815030233672e-07	2.49269882971889	0.667	0.023
6_2	EGR4	0.0113449087258919	1.02086823772986e-06	5.28980081286561	0.778	0.07
6_1	NPTX2	0.000691312250846329	6.22075272965292e-08	5.208388564717	0.833	0.075
6_1	USH2A	0.0115616602101769	1.04037255558147e-06	3.93828760975588	0.75	0.075
6_1	PRLH	0.0322079517907672	2.8982229632653e-06	9.44318542097729	0.5	0
6_1	PDE9A	0.0356578315216562	3.20865936485703e-06	2.77188349750629	0.667	0.05
