cluster	gene	p_val_adj	p_val	avg_log2FC	pct.1	pct.2
6_2	OTP	1.5981312548111e-07	1.43807365680833e-11	7.39808555840273	0.846	0.02
6_2	SIM1	5.2382600566642e-05	4.7136327334331e-09	7.08963003955419	0.615	0
6_2	EGR4	0.000392449234621782	3.53144276632576e-08	2.94326223712727	1	0.22
6_2	JUND	0.00192060656388802	1.72825210464143e-07	3.05339868981798	0.846	0.12
6_2	NRN1	0.00617355328890949	5.55525356691216e-07	4.21597046701155	0.615	0.04
6_2	SH3PXD2B	0.00687446032510345	6.18596267893768e-07	7.39757907580281	0.462	0
6_2	FOSL2	0.032520763004125	2.92637118726942e-06	3.68404847537099	0.769	0.16
6_0	BCL11A	1.24582684212512e-06	1.12105357880421e-10	3.93550771815326	0.929	0.114
6_0	BRINP2	0.000678267549594695	6.10337037338878e-08	3.28961405206561	1	0.686
6_0	TRPM3	0.0135592632509585	1.22012627112018e-06	6.67120164383084	0.536	0
6_1	PRLH	0.0080829203243074	7.27339181526806e-07	10.5232410472524	0.467	0
6_3	PENK	8.85542900394217e-05	7.96853145320091e-09	7.55723039630782	0.571	0
6_3	NMB	8.85542900394217e-05	7.96853145320091e-09	9.59573166577286	0.571	0
6_3	SIX6	0.000622034525809057	5.59735918122071e-08	5.65921327938204	0.714	0.036
6_3	LRRC9	0.00318288019632015	2.86410527879074e-07	6.02187765976613	0.571	0.018
6_3	RSPO4	0.00318288019632015	2.86410527879074e-07	9.59797300282604	0.571	0.018
6_3	CORO2A	0.00830807161796004	7.4759935372627e-07	7.1013913633622	0.429	0
6_3	AGTR2	0.00830807161796004	7.4759935372627e-07	6.88706637602103	0.429	0
