cluster	gene	p_val_adj	p_val	avg_log2FC	pct.1	pct.2
24	FAT2	5.93304518294994e-108	5.33883306303423e-112	7.08690941773795	1	0.02
24	EPS8L2	7.50690017033377e-34	6.75506179279562e-38	5.7607185858729	0.429	0.012
24	SLC37A4	5.25932971235047e-15	4.73259220044135e-19	4.78912677638494	0.143	0.002
24	ZBTB46	1.01874709356668e-11	9.16716542397801e-16	2.53521403982161	0.929	0.154
24	GABRA6	1.15700135560633e-11	1.04112422892678e-15	2.89297823972965	0.857	0.126
24	ZNF804A	1.4518008109869e-09	1.30639864211905e-13	2.46393267438946	0.929	0.176
24	ZIC1	1.02302991961147e-08	9.20570430677106e-13	2.11229007860613	1	0.192
24	PLEKHA4	2.14537380756961e-08	1.93050824041178e-12	3.05641105722036	0.286	0.018
24	ANKIB1	1.90403485137479e-07	1.71334009842058e-11	2.44992185063955	0.786	0.15
24	LHFPL1	1.02776241707427e-06	9.24828954444592e-11	3.43042198976742	0.5	0.066
24	SLC17A7	1.179724918247e-06	1.06157195918924e-10	4.00681892103284	0.357	0.034
24	MAB21L1	2.05837813644075e-06	1.85222544447112e-10	3.89342853986981	0.429	0.051
24	NEUROD1	3.6988069089634e-06	3.32836039679961e-10	2.02764637992449	0.5	0.064
24	KCNIP4	1.58161734777625e-05	1.42321366667529e-09	1.92930859167264	1	0.274
24	MAFB	2.60306964323265e-05	2.3423644769483e-09	1.88613859996695	0.286	0.025
24	TRAPPC14	3.23394491406574e-05	2.91005571318792e-09	2.71543681338915	0.571	0.098
24	DIPK1B	3.7523321446643e-05	3.37652492096131e-09	2.59336961274644	0.429	0.055
24	HEPACAM2	3.89116822265579e-05	3.50145615284423e-09	4.66259581580756	0.143	0.006
24	CHN2	3.96836098122479e-05	3.57091782707171e-09	3.20706677148223	0.5	0.079
24	FLT4	4.43257693458246e-05	3.98864117212496e-09	4.33353284307503	0.143	0.006
24	FAM86B1	4.52967048773953e-05	4.07601051717766e-09	3.73053536072072	0.143	0.006
24	TAF5L	6.003020356538e-05	5.40180001488167e-09	4.61389680667749	0.214	0.015
24	CACNG7	9.10417747412107e-05	8.19236702431483e-09	2.31480657397643	0.929	0.322
24	GOLGA7B	9.41636676045381e-05	8.47328962517215e-09	2.03965488371086	0.571	0.099
24	NR4A3	0.000120690242489956	1.08602755772479e-08	1.70694378816305	0.429	0.056
24	GRIP2	0.000132492646729785	1.19223114127405e-08	2.4383803149659	0.429	0.058
24	NHSL2	0.000204653001830459	1.84156395060253e-08	2.02181634239687	1	0.495
24	CBLN2	0.000724505701840353	6.51944301125126e-08	2.58527028178029	0.643	0.147
24	SEMA3A	0.00126926103535443	1.14214076788845e-07	2.36414731933917	0.5	0.089
24	ZNF711	0.0013715117410684	1.23415076133213e-07	3.05605827803374	0.286	0.031
24	GAL	0.00160589989159644	1.44506424151574e-07	0.3287569802099	0.357	0.048
24	PTPN13	0.00186732504398048	1.68030688741157e-07	2.47759791181009	0.286	0.031
24	FAT1	0.00216201133150661	1.94547946684658e-07	2.374306870027	0.786	0.239
24	EPHX3	0.00297677674025074	2.67864369679721e-07	2.70722035515338	0.357	0.051
24	GALM	0.00480077131456344	4.31995978994281e-07	2.66308004450571	0.286	0.034
24	ZNF142	0.00522508434919129	4.70177661224808e-07	3.51826294042385	0.214	0.02
24	LRRC45	0.00528787869947114	4.75828192159735e-07	2.95567893277151	0.143	0.009
24	MGAT4C	0.00774167358854838	6.9663219549612e-07	1.4210396750536	0.929	0.355
24	CABP1	0.00943052121789551	8.48602647160579e-07	1.87512110867868	0.5	0.101
24	COL14A1	0.00975346266159462	8.77662436929238e-07	2.45232541182954	0.643	0.172
24	RIMS4	0.0115077803245293	1.03552419009532e-06	1.90868859203322	0.857	0.292
24	NOM1	0.0152865597659497	1.37555653432464e-06	2.69491889884677	0.286	0.036
24	CPS1	0.0202610484021229	1.82318441484054e-06	3.23660486157249	0.143	0.01
24	PLAC9	0.0214911686567674	1.93387642011765e-06	3.89342839352372	0.143	0.01
24	FBXL2	0.0272032631202304	2.44787754163865e-06	2.38340606517805	0.571	0.15
24	ABI2	0.0351227406784255	3.16050937446464e-06	2.39734159815997	0.929	0.431
24	ADSS2	0.0437426346449406	3.93616796948984e-06	2.20376741480815	0.5	0.113
24	PAK1	0.0488408689253936	4.39493106500438e-06	1.4950898560759	0.786	0.264
0	ATP13A5	6.0164923032103e-67	5.41392270602924e-71	1.88757619190007	0.984	0.699
0	GRIN2A	1.48996540042333e-60	1.34074093442214e-64	1.60523841246798	0.875	0.437
0	GLRA1	3.98008229328323e-59	3.58146521486838e-63	1.78172834280089	0.621	0.182
0	SHISA6	3.29084858589723e-58	2.96126031305429e-62	2.66140698995898	0.662	0.229
