cluster	gene	p_val_adj	p_val	avg_log2FC	pct.1	pct.2
1	FGFBP3	2.47464592297545e-111	2.22680277420629e-115	5.99230220819202	0.7	0.042
1	SRPX	8.35475213483035e-110	7.51799886154085e-114	7.06200064476247	0.5	0.008
1	GPM6B	8.66276227501389e-103	7.79516087016458e-107	5.01435389392789	0.918	0.134
1	MLC1	3.71655385484231e-98	3.34432993326942e-102	5.56307934239701	0.636	0.039
1	PZP	2.70324177712131e-94	2.43250407371665e-98	5.34237719577169	0.682	0.053
1	PTN	5.74829310518859e-92	5.17258445531233e-96	5.4294184617424	0.764	0.087
1	GJA1	2.83316591484086e-89	2.54941592264992e-93	5.03418823581376	0.645	0.049
1	GPR37L1	8.51208949132588e-89	7.65957841386294e-93	5.27723248451011	0.618	0.043
1	ADGRD2	1.12843804336002e-88	1.01542161734907e-92	5.90507389662071	0.509	0.021
1	SLC4A4	3.35864635299208e-88	3.02226793214441e-92	4.61576700935494	0.709	0.068
1	SLC6A11	2.43561419548955e-86	2.19168019030824e-90	5.85209046978418	0.818	0.125
1	PDGFRB	1.96931398898219e-85	1.7720813362568e-89	5.42210095129772	0.445	0.012
1	PLPP3	1.02733769548898e-84	9.24446769989186e-89	5.41615118965364	0.518	0.025
1	CA8	4.80676053165965e-80	4.32534916913494e-84	5.20227230618925	0.536	0.033
1	ATP1B4	5.66987631079499e-73	5.10202133608835e-77	5.45726191254859	0.736	0.113
1	GLI1	1.3358629339835e-71	1.20207228829614e-75	6.55696623269692	0.364	0.009
1	ECT2L	3.36392034387684e-70	3.02701371715724e-74	4.11208500706405	0.645	0.074
1	ARHGAP27	1.27659414941828e-69	1.14873944877016e-73	4.23462453338115	0.5	0.033
1	NOTCH3	2.03485335885119e-69	1.83105674331971e-73	5.96669267313614	0.391	0.014
1	NOTCH1	3.98415792923692e-66	3.58513266376039e-70	5.59806604317429	0.591	0.059
1	PTPRZ1	4.48170692935001e-66	4.0328506518042e-70	4.42628074872127	0.6	0.065
1	PLXNB1	1.336536853139e-60	1.20267871244399e-64	4.12001511023478	0.655	0.099
1	ANKRD6	1.52479941788204e-60	1.37208622143619e-64	4.65665575994807	0.473	0.037
1	SLC6A13	1.2376309791495e-59	1.11367855588005e-63	5.73378923988744	0.373	0.017
1	ZNF641	3.31824113408731e-57	2.98590941607784e-61	5.47212216447552	0.518	0.055
1	CELSR1	5.41182539203121e-55	4.86981498428076e-59	5.32199668209521	0.4	0.027
1	MID1	1.80167236429528e-51	1.62122951884754e-55	6.18914830634572	0.291	0.009
1	PREX2	2.17757861193909e-51	1.95948763784674e-55	3.56731999350056	0.491	0.051
1	QKI	5.79187850759107e-50	5.21180465004145e-54	3.21096303734232	0.691	0.133
1	PLOD1	3.05610591044856e-49	2.75002781467521e-53	5.34318819714306	0.355	0.022
1	SPARC	5.03722517913197e-49	4.53273209676232e-53	5.37733768734275	0.282	0.009
1	BCAN	2.90438167774211e-48	2.61349921510133e-52	3.76822297262681	0.6	0.1
1	FAM107A	1.00393626942169e-47	9.03389066338245e-52	4.88210348033838	0.309	0.015
1	KCNJ10	2.77343347209889e-47	2.49566586169251e-51	3.8375716356739	0.473	0.053
1	MSI1	6.18548417438488e-47	5.56598953872481e-51	4.50373194929211	0.645	0.13
1	NTN1	1.02182752531708e-45	9.19488459747211e-50	6.64117872025204	0.518	0.076
