cluster	gene	p_val_adj	p_val	avg_log2FC	pct.1	pct.2
1	ADGRD2	1.93775044367587e-132	1.74367897388272e-136	4.8065115672224	0.599	0.038
1	GPM6B	2.51939732905066e-126	2.26707219387263e-130	4.21175717900172	0.816	0.145
1	PZP	2.84174169068955e-116	2.55713280904306e-120	4.07852639531544	0.623	0.058
1	SRPX	8.38519496731045e-114	7.54539275381126e-118	6.80504357939687	0.42	0.011
1	SLC6A11	3.88706804457996e-102	3.4977666197966e-106	5.03013434372771	0.708	0.132
1	MLC1	2.6129561222808e-96	2.35126079571745e-100	4.23708571422525	0.542	0.054
1	ATP1B4	5.58492640436906e-95	5.02557941543153e-99	4.52940975160504	0.58	0.073
1	PTPRZ1	1.41401254024969e-94	1.27239497907828e-98	4.54114337386739	0.557	0.063
1	GLI1	8.94203216713389e-93	8.04646105204165e-97	5.76020335815968	0.368	0.012
1	CA8	3.03572965617921e-86	2.73169230286981e-90	4.24582824707222	0.458	0.038
1	SLC6A13	3.95861180362865e-86	3.56214505860582e-90	5.30934287294134	0.406	0.025
1	PTN	1.27819991288942e-83	1.15018439025414e-87	4.32792958877739	0.557	0.08
1	GPR37L1	1.07706148512974e-82	9.69190574219149e-87	5.0634499193224	0.476	0.049
1	GJA1	2.71037883853811e-81	2.43892633720698e-85	3.92932565372094	0.491	0.053
1	PLXNB1	1.71668973677519e-79	1.54475815421145e-83	3.89563403425299	0.585	0.098
1	FGFBP3	5.50426566630575e-79	4.95299709016984e-83	4.54494608366267	0.434	0.038
1	SLC4A4	7.55595577410395e-77	6.79920433195712e-81	4.21868645804284	0.524	0.073
1	PDGFRB	2.355270896531e-74	2.11938351168091e-78	4.84430528690996	0.363	0.023
1	PREX2	2.77185617541561e-72	2.49424653596294e-76	3.73749294346365	0.472	0.057
1	ECT2L	3.97435589636477e-71	3.57631233363157e-75	2.49259783804004	0.594	0.102
1	NOTCH3	1.03938926590646e-65	9.35291339788047e-70	4.57564518591263	0.316	0.019
1	CELSR1	2.70888743595122e-65	2.43758430302459e-69	4.42429688530469	0.401	0.043
1	KCNJ10	2.9237311048102e-64	2.63091073950346e-68	3.01992113804083	0.514	0.082
1	ZNF641	5.52713082494258e-63	4.97357223516834e-67	4.50913621891631	0.439	0.06
1	MSI1	1.57667534445216e-62	1.4187666196816e-66	4.89815345680578	0.608	0.156
1	NOTCH1	2.00441671301571e-62	1.80366841808306e-66	5.10631390977533	0.429	0.056
1	FABP7	4.85882256268462e-61	4.37219703292056e-65	2.75175377387393	0.599	0.135
1	S1PR1	6.15869264490232e-60	5.54188126059779e-64	4.9738969568733	0.292	0.018
1	CYP19A1	3.75207045576743e-59	3.37628944098572e-63	4.92280809701717	0.377	0.043
