cluster	gene	p_val_adj	p_val	avg_log2FC	pct.1	pct.2
6_2	SIM1	0.00038330200999748	3.44913173758193e-08	6.62134136595521	0.667	0
6_2	OTP	0.00398524036175457	3.58610668744225e-07	5.79293978366882	0.667	0.025
6_2	MCAM	0.0396782582454317	3.57043626792331e-06	4.6171275064557	0.583	0.025
6_3	NDNF	0.000524775330929087	4.72217520857633e-08	5.61093846958976	1	0.085
6_3	VAX1	0.000844370336730142	7.59804136353947e-08	7.13477523121393	0.6	0
6_3	CRHR1	0.001440207657854	1.29596657775038e-07	4.95146896636041	1	0.106
6_3	TBL1X	0.0165063436213764	1.48531842179218e-06	5.71867696208487	0.8	0.064
6_3	PENK	0.0396760099094915	3.57023395208238e-06	6.76181247554787	0.6	0.021
6_0	BRINP2	0.0176973336971722	1.59248930956287e-06	3.56818667491513	1	0.519
6_1	GAL	0.00037979548849148	3.41757840809394e-08	8.37276989039927	0.8	0.048
6_1	VWC2	0.0272155445947252	2.44898268646857e-06	3.97048175555281	0.8	0.143
