id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	6_0|6_0	6_0|6_1	6_0|6_2	6_0|6_3	6_1|6_0	6_1|6_1	6_1|6_2	6_1|6_3	6_2|6_0	6_2|6_1	6_2|6_2	6_2|6_3	6_3|6_0	6_3|6_1	6_3|6_2	6_3|6_3
CPI-SS0EE09A201	CDH2_CDH2	simple:P19022	simple:P19022	CDH2	CDH2	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	100.0	23.944	64.132	0.0	23.944	5.733	15.356	0.0	64.132	15.356	41.13	0.0	0.0	0.0	0.0	0.0
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	CADM1	CADM1	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	19.66	32.693	44.339	0.0	32.693	54.368	73.734	0.0	44.339	73.734	100.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09C06644C	CADM3_CADM1	simple:Q8N126	simple:Q9BY67	CADM3	CADM1	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	33.967	56.486	76.607	0.0	0.0	0.0	0.0	0.0	44.339	73.734	100.0	0.0	0.0	0.0	0.0	0.0
CPI-SS02D18D12B	CADM3_CADM4	simple:Q8N126	simple:Q8NFZ8	CADM3	CADM4	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	63.221	0.0	73.532	76.607	0.0	0.0	0.0	0.0	82.526	0.0	95.985	100.0	0.0	0.0	0.0	0.0
CPI-SS0B3829651	CADM3_EPB41L1	simple:Q8N126	simple:Q9H4G0	CADM3	EPB41L1	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	0.0	11.463	37.935	76.607	0.0	0.0	0.0	0.0	0.0	14.963	49.518	100.0	0.0	0.0	0.0	0.0
CPI-SS06D2944B5	COL4A4_ADGRG6	simple:P53420	simple:Q86SQ4	COL4A4	ADGRG6	True	False	True	curated	False	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0335C4DDE	LAMA2_ADGRG6	simple:P24043	simple:Q86SQ4	LAMA2	ADGRG6	True	False	True	curated	False	Ligand-Receptor		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0CEFF4625	GJC1_GJC1	simple:P36383	simple:P36383	GJC1	GJC1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F9D53834	JAM3_JAM3	simple:Q9BX67	simple:Q9BX67	JAM3	JAM3	True	False	False	curated	False	Adhesion-Adhesion	Adhesion by JAM	100.0	0.0	57.093	0.0	0.0	0.0	0.0	0.0	57.093	0.0	32.596	0.0	0.0	0.0	0.0	0.0
CPI-SC030C83222	L1CAM_pL1:Ezrin	simple:P32004	complex:pL1:Ezrin	L1CAM		False	False	True	curated	False	Ligand-Receptor	Adhesion by L1CAM	0.0	44.728	48.946	0.0	0.0	50.892	55.691	0.0	0.0	91.382	100.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0ACD487F0	L1CAM_L1CAM	simple:P32004	simple:P32004	L1CAM	L1CAM	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by L1CAM	23.957	27.259	48.946	0.0	27.259	31.015	55.691	0.0	48.946	55.691	100.0	0.0	0.0	0.0	0.0	0.0
CPI-SS00661A3A4	NECTIN1_CADM3	simple:Q15223	simple:Q8N126	NECTIN1	CADM3	True	True	False	curated	False	Adhesion-Adhesion	Adhesion by Nectin	76.607	0.0	100.0	0.0	63.196	0.0	82.493	0.0	38.487	0.0	50.24	0.0	0.0	0.0	0.0	0.0
CPI-SS01E0F2D2C	NECTIN1_NECTIN4	simple:Q15223	simple:Q96NY8	NECTIN1	NECTIN4	True	True	True	curated	False	Adhesion-Adhesion	Adhesion by Nectin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS064B4FE21	Adenosine_byNT5E_and_SLC29A1_ADORA1	complex:Adenosine_byNT5E_and_SLC29A1	simple:P30542		ADORA1	True	False	True	curated	False	Ligand-Receptor	Signaling by Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS0BCAA5227	Adenosine_byNT5E_and_SLC29A2_ADORA1	complex:Adenosine_byNT5E_and_SLC29A2	simple:P30542		ADORA1	True	False	True	curated	False	Ligand-Receptor	Signaling by Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS0517F9783	Adenosine_byNT5E_and_SLC29A3_ADORA1	complex:Adenosine_byNT5E_and_SLC29A3	simple:P30542		ADORA1	True	False	True	curated	False	Ligand-Receptor	Signaling by Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS0521FD886	Adenosine_byNT5E_and_SLC29A4_ADORA1	complex:Adenosine_byNT5E_and_SLC29A4	simple:P30542		ADORA1	True	False	True	curated	False	Ligand-Receptor	Signaling by Adenosine	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0593F278B	AGRN_PTPRS	simple:O00468	simple:Q13332	AGRN	PTPRS	True	False	True	curated	False	Ligand-Receptor	Signaling by Agrin	51.486	28.18	0.0	100.0	51.211	28.029	0.0	99.465	37.443	20.493	0.0	72.724	0.0	0.0	0.0	0.0
CPI-SS023656B4B	LRRC4B_PTPRS	simple:Q9NT99	simple:Q13332	LRRC4B	PTPRS	False	False	True	curated	False	Ligand-Receptor	Signaling by Leucine Rich Repeat And Fibronectin	51.486	28.18	0.0	100.0	0.0	0.0	0.0	0.0	17.262	9.448	0.0	33.527	33.811	18.506	0.0	65.67
CPI-SS0DCD351AD	LRFN5_PTPRS	simple:Q96NI6	simple:Q13332	LRFN5	PTPRS	False	False	True	curated	False	Ligand-Receptor	Signaling by Leucine Rich Repeat And Fibronectin	51.486	28.18	0.0	100.0	26.669	14.596	0.0	51.798	17.622	9.645	0.0	34.227	0.0	0.0	0.0	0.0
