gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	6_0	6_1	6_2	6_3
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.04	0.0	0.167	0.0
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	SRD5A3	0.12	0.0	0.0	0.0
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	SRD5A1	0.12	0.0	0.083	0.0
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	SRD5A2	0.04	0.0	0.083	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	DHCR7	0.12	0.0	0.083	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	DAGLA	0.4	0.0	0.333	0.0
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	DAGLB	0.16	0.0	0.25	0.0
CYP17A1	P05093	True	CP17A_HUMAN	Androstenedione_byCYP17A1	CPI-CS0D5502736	CYP17A1	0.0	0.1	0.0	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	DHCR7	0.12	0.0	0.083	0.0
CYP19A1	P11511	True	CP19A_HUMAN	Estradiol_byCYP19A1	CPI-CS0B87D36A1	CYP19A1	0.04	0.0	0.0	0.0
PTGES3	Q15185	True	TEBP_HUMAN	ProstaglandinE2_byPTGES3	CPI-CS0C9671CB6	PTGES3	0.16	0.1	0.083	0.2
DDC	P20711	True	DDC_HUMAN	SerotoninDopamin_byDDC	CPI-CS03C4A5CCC	DDC	0.0	0.2	0.0	0.0
DDC	P20711	True	DDC_HUMAN	SerotoninDopamin_byDDC	CPI-CS08B8EB95C	DDC	0.0	0.2	0.0	0.0
DDC	P20711	True	DDC_HUMAN	SerotoninDopamin_byDDC	CPI-CS029E9BA69	DDC	0.0	0.2	0.0	0.0
DDC	P20711	True	DDC_HUMAN	SerotoninDopamin_byDDC	CPI-CS07508694A	DDC	0.0	0.2	0.0	0.0
DDC	P20711	True	DDC_HUMAN	SerotoninDopamin_byDDC	CPI-CS062F16E86	DDC	0.0	0.2	0.0	0.0
DDC	P20711	True	DDC_HUMAN	SerotoninDopamin_byDDC	CPI-CS0AB91708D	DDC	0.0	0.2	0.0	0.0
DDC	P20711	True	DDC_HUMAN	SerotoninDopamin_byDDC	CPI-CS0682222D2	DDC	0.0	0.2	0.0	0.0
HSD17B12	Q53GQ0	True	DHB12_HUMAN	Testosterone_byHSD17B12	CPI-CS0BE6576AD	HSD17B12	0.44	0.3	0.25	0.6
SLC29A1	Q99808	True	S29A1_HUMAN	Adenosine_byNT5E_and_SLC29A1	CPI-CS064B4FE21	SLC29A1	0.04	0.0	0.0	0.0
NT5E	P21589	True	5NTD_HUMAN	Adenosine_byNT5E_and_SLC29A1	CPI-CS064B4FE21	NT5E	0.04	0.0	0.0	0.0
SLC29A2	Q14542	True	S29A2_HUMAN	Adenosine_byNT5E_and_SLC29A2	CPI-CS0BCAA5227	SLC29A2	0.04	0.0	0.0	0.0
NT5E	P21589	True	5NTD_HUMAN	Adenosine_byNT5E_and_SLC29A2	CPI-CS0BCAA5227	NT5E	0.04	0.0	0.0	0.0
SLC29A4	Q7RTT9	True	S29A4_HUMAN	Adenosine_byNT5E_and_SLC29A4	CPI-CS0521FD886	SLC29A4	0.04	0.0	0.0	0.0
NT5E	P21589	True	5NTD_HUMAN	Adenosine_byNT5E_and_SLC29A4	CPI-CS0521FD886	NT5E	0.04	0.0	0.0	0.0
DDC	P20711	True	DDC_HUMAN	Dopamine_byDDC_and_SLC18A2	CPI-CS04B5BF177	DDC	0.0	0.1	0.0	0.0
DDC	P20711	True	DDC_HUMAN	Dopamine_byDDC_and_SLC18A2	CPI-CS039F33B17	DDC	0.0	0.1	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	Dopamine_byDDC_and_SLC18A2	CPI-CS04B5BF177	SLC18A2	0.0	0.1	0.0	0.0
SLC18A2	Q05940	True	VMAT2_HUMAN	Dopamine_byDDC_and_SLC18A2	CPI-CS039F33B17	SLC18A2	0.0	0.1	0.0	0.0
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CS0CE0C5AF0	SLC32A1	0.32	0.6	0.0	0.4
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CS0FA38E530	SLC32A1	0.32	0.6	0.0	0.4
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC09C521706	SLC32A1	0.32	0.6	0.0	0.4
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC0990A372B	SLC32A1	0.32	0.6	0.0	0.4
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC0392C7337	SLC32A1	0.32	0.6	0.0	0.4
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC0CAFBA656	SLC32A1	0.32	0.6	0.0	0.4
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC0608D4CA8	SLC32A1	0.32	0.6	0.0	0.4
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC0F8CB8104	SLC32A1	0.32	0.6	0.0	0.4
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC035C82A9B	SLC32A1	0.32	0.6	0.0	0.4
SLC32A1	Q9H598	True	VIAAT_HUMAN	GABA_byGAD1_and_SLC32A1	CPI-CC0B77A9502	SLC32A1	0.32	0.6	0.0	0.4
