gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	0	1	10	11	12	13	14	15	16	17	18	19	2	20	21	22	23	24	25	3	4	5	6_0	6_1	6_2	6_3	7	8	9
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS05760BB78	UBASH3B	0.217	0.017	0.041	0.11	0.0	0.13	0.262	0.073	0.237	0.0	0.183	0.0	0.609	0.098	0.06	0.19	0.383	0.0	0.136	0.069	0.355	0.157	0.193	0.15	0.0	0.0	0.505	0.332	0.148
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.217	0.017	0.041	0.11	0.0	0.13	0.262	0.073	0.237	0.0	0.183	0.0	0.609	0.098	0.06	0.19	0.383	0.0	0.136	0.069	0.355	0.157	0.193	0.15	0.0	0.0	0.505	0.332	0.148
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	SRD5A3	0.036	0.04	0.0	0.051	0.0	0.034	0.168	0.075	0.0	0.0	0.08	0.133	0.025	0.0	0.22	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.137	0.0	0.0	0.049	0.0
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	SRD5A1	0.043	0.027	0.0	0.0	0.0	0.0	0.028	0.0	0.024	0.07	0.0	0.0	0.015	0.0	0.0	0.107	0.0	0.0	0.233	0.0	0.032	0.053	0.0	0.0	0.163	0.0	0.0	0.0	0.04
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	SRD5A2	0.069	0.013	0.081	0.042	0.036	0.0	0.148	0.0	0.064	0.0	0.0	0.0	0.0	0.127	0.094	0.127	0.0	0.085	0.146	0.065	0.082	0.057	0.236	0.12	0.0	0.0	0.0	0.061	0.078
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	DHCR7	0.12	0.044	0.054	0.0	0.055	0.081	0.102	0.226	0.0	0.16	0.146	0.086	0.04	0.088	0.287	0.0	0.0	0.0	0.0	0.173	0.092	0.121	0.112	0.536	0.0	0.0	0.0	0.087	0.113
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	PTGR1	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.0
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	PTGR1	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	DAGLA	0.601	0.163	0.57	0.156	0.138	0.353	0.886	0.685	0.381	0.134	0.607	0.444	0.484	0.328	0.184	0.34	0.303	0.519	0.432	0.448	0.758	0.606	0.346	0.326	0.3	0.662	0.447	0.644	0.272
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	DAGLA	0.601	0.163	0.57	0.156	0.138	0.353	0.886	0.685	0.381	0.134	0.607	0.444	0.484	0.328	0.184	0.34	0.303	0.519	0.432	0.448	0.758	0.606	0.346	0.326	0.3	0.662	0.447	0.644	0.272
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	DAGLA	0.601	0.163	0.57	0.156	0.138	0.353	0.886	0.685	0.381	0.134	0.607	0.444	0.484	0.328	0.184	0.34	0.303	0.519	0.432	0.448	0.758	0.606	0.346	0.326	0.3	0.662	0.447	0.644	0.272
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	DAGLB	0.159	0.132	0.088	0.123	0.15	0.104	0.135	0.0	0.209	0.175	0.123	0.061	0.03	0.081	0.0	0.296	0.0	0.269	0.0	0.017	0.131	0.201	0.135	0.0	0.066	0.502	0.284	0.09	0.086
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	DAGLB	0.159	0.132	0.088	0.123	0.15	0.104	0.135	0.0	0.209	0.175	0.123	0.061	0.03	0.081	0.0	0.296	0.0	0.269	0.0	0.017	0.131	0.201	0.135	0.0	0.066	0.502	0.284	0.09	0.086
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	DAGLB	0.159	0.132	0.088	0.123	0.15	0.104	0.135	0.0	0.209	0.175	0.123	0.061	0.03	0.081	0.0	0.296	0.0	0.269	0.0	0.017	0.131	0.201	0.135	0.0	0.066	0.502	0.284	0.09	0.086
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	DHRS9	0.016	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	INHBA	0.018	0.078	0.209	0.0	0.0	0.0	0.0	0.246	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	INHBA	0.018	0.078	0.209	0.0	0.0	0.0	0.0	0.246	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	INHBA	0.018	0.078	0.209	0.0	0.0	0.0	0.0	0.246	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	INHBA	0.018	0.078	0.209	0.0	0.0	0.0	0.0	0.246	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0
