gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	0	1	10	11	12	13	14	15	16	17	18	19	2	20	21	22	23	24	25	26	3	4	5	6_0	6_1	6_2	6_3	7	8	9
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS05760BB78	UBASH3B	0.209	0.06	0.036	0.182	0.016	0.113	0.248	0.036	0.14	0.104	0.33	0.036	0.453	0.171	0.186	0.316	0.035	0.218	0.108	0.038	0.086	0.28	0.216	0.13	0.154	0.243	0.114	0.426	0.462	0.126
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.209	0.06	0.036	0.182	0.016	0.113	0.248	0.036	0.14	0.104	0.33	0.036	0.453	0.171	0.186	0.316	0.035	0.218	0.108	0.038	0.086	0.28	0.216	0.13	0.154	0.243	0.114	0.426	0.462	0.126
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	SRD5A3	0.027	0.013	0.021	0.01	0.014	0.026	0.023	0.014	0.015	0.023	0.028	0.028	0.016	0.009	0.038	0.019	0.013	0.024	0.018	0.021	0.026	0.027	0.028	0.037	0.026	0.021	0.032	0.02	0.024	0.023
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	SRD5A1	0.034	0.036	0.011	0.021	0.013	0.027	0.014	0.023	0.017	0.035	0.021	0.019	0.008	0.037	0.032	0.035	0.035	0.036	0.1	0.027	0.031	0.03	0.035	0.038	0.024	0.048	0.026	0.024	0.033	0.015
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	SRD5A2	0.076	0.045	0.042	0.066	0.06	0.021	0.056	0.036	0.044	0.031	0.058	0.075	0.02	0.026	0.091	0.057	0.051	0.121	0.063	0.071	0.072	0.083	0.067	0.099	0.078	0.045	0.071	0.05	0.117	0.054
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	CYP21A2	0.0	0.001	0.0	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	DHCR7	0.116	0.07	0.034	0.023	0.05	0.068	0.059	0.065	0.043	0.066	0.086	0.053	0.023	0.025	0.121	0.081	0.119	0.084	0.045	0.057	0.114	0.051	0.1	0.125	0.109	0.118	0.056	0.039	0.083	0.065
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	PTGR1	0.005	0.004	0.002	0.002	0.002	0.003	0.001	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.014	0.004	0.0	0.0	0.001	0.006	0.006	0.01	0.006	0.009	0.0	0.001	0.003	0.003
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	PTGR1	0.005	0.004	0.002	0.002	0.002	0.003	0.001	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.014	0.004	0.0	0.0	0.001	0.006	0.006	0.01	0.006	0.009	0.0	0.001	0.003	0.003
CYP11A1	P05108	True	CP11A_HUMAN	22Hydroxycholesterol_byCYP11A1	CPI-CS08D535BCF	CYP11A1	0.015	0.009	0.007	0.013	0.016	0.017	0.011	0.117	0.011	0.012	0.012	0.015	0.018	0.027	0.02	0.031	0.0	0.017	0.038	0.0	0.013	0.017	0.009	0.004	0.0	0.009	0.0	0.014	0.011	0.012
