"","X","gene","av_p.value","warning","singular","av_q.value","f_m_p.value","d_m_p.value","d_f_p.value","f_m_estimate","d_m_estimate","d_f_estimate","cluster","full_label","first_word","second_word","short_label"
"2166",2166,"LOC111577263",1.1196533887604e-06,NA,FALSE,0.000127233339631863,0.918531293643249,8.35936292742367e-06,6.05314270618607e-05,-0.103241371580672,-1.19275729600179,-1.08951592442112,"1_0","Transiently downregulated, full rebound","Transiently","Downregulated","Transiently Downregulated"
"2591",2591,"mdkb",0.000129084145520994,NA,FALSE,0.0141075568875403,0.0170387454387888,0.48462988594061,9.53226211503067e-05,0.447492384783397,-0.182406121837042,-0.629898506620439,"1_0","Late upregulated_1","Late","Upregulated","Late Upregulated"
"4567",4567,"gli1",1.96367868182775e-05,NA,FALSE,0.00219405439310363,9.5465399268857e-05,0.991272073744195,5.18452459972174e-05,-0.745418370466886,-0.0184211587483647,0.726997211718521,"1_0","Late_downregulated_1","Late","Downregulated","Late Downregulated"
"6848",6848,"LOC129349419",1.48851330691172e-05,NA,FALSE,0.00168193594001324,0.0484814647121562,0.040641490945867,7.33953317144653e-06,0.503817391521841,-0.547360880740791,-1.05117827226263,"1_0","Transiently downregulated, high rebound","Transiently","Downregulated","Transiently Downregulated"
"12826",12826,"LOC111565089",0.000439948704816772,NA,FALSE,0.0460679272059447,0.00059015231085191,0.110257647308723,0.042906641760647,1.76723474551636,0.97269375785841,-0.794540987657947,"1_0","Late upregulated_1","Late","Upregulated","Late Upregulated"
"2055",2055,"sema3ab",1.1805824551906e-06,NA,FALSE,0.00011337904199803,4.08650187888604e-05,0.69715124870435,9.27635586678299e-07,-1.17007960119957,0.165435792458411,1.33551539365798,"1_1","Late_downregulated_1","Late","Downregulated","Late Downregulated"
"2240",2240,"LOC111577263",0.000443663374411099,NA,FALSE,0.0400477600455547,0.574019444061598,0.0123713773405937,0.000380284383017737,0.423187827201806,-1.26748125598208,-1.69066908318389,"1_1","Transiently downregulated, full rebound","Transiently","Downregulated","Transiently Downregulated"
"2705",2705,"LOC111587547",0.000115775418796717,NA,FALSE,0.0109192314266034,0.0127251627353355,0.21250010877387,6.35196703090424e-05,-1.41952286841356,0.629799488863937,2.0493223572775,"1_1","Late_downregulated_1","Late","Downregulated","Late Downregulated"
"5951",5951,"LOC111583974",2.37867268065784e-05,NA,FALSE,0.00227401108270889,0.000490026268182953,0.779635329271709,2.55995028667355e-05,-1.34614672125594,0.203183095115195,1.54932981637114,"1_1","Late_downregulated_1","Late","Downregulated","Late Downregulated"
"9765",9765,"mpz",8.50244310063054e-05,NA,FALSE,0.00805510735551628,0.00208671685241335,0.000303460565964198,0.844202830097634,-1.64816137567129,-1.94201566013,-0.293854284458711,"1_1","Early downregulated, no rebound","Early","Downregulated","Early Downregulated"
