Barcode,Coltan DIssection
cellid_000000305-1,included
cellid_000000415-1,included
cellid_000000424-1,included
cellid_000000517-1,included
cellid_000000565-1,included
cellid_000000633-1,included
cellid_000000761-1,included
cellid_000000817-1,included
cellid_000000830-1,included
cellid_000000904-1,included
cellid_000000928-1,included
cellid_000000942-1,included
cellid_000000977-1,included
cellid_000001065-1,included
cellid_000001072-1,included
cellid_000001073-1,included
cellid_000001074-1,included
cellid_000001075-1,included
cellid_000001080-1,included
cellid_000001096-1,included
cellid_000001100-1,included
cellid_000001104-1,included
cellid_000001113-1,included
cellid_000001115-1,included
cellid_000001117-1,included
cellid_000001132-1,included
cellid_000001141-1,included
cellid_000001143-1,included
cellid_000001150-1,included
cellid_000001163-1,included
cellid_000001169-1,included
cellid_000001175-1,included
cellid_000001179-1,included
cellid_000001182-1,included
cellid_000001184-1,included
cellid_000001189-1,included
cellid_000001199-1,included
cellid_000001200-1,included
cellid_000001202-1,included
cellid_000001206-1,included
cellid_000001212-1,included
cellid_000001214-1,included
cellid_000001216-1,included
cellid_000001226-1,included
cellid_000001245-1,included
cellid_000001251-1,included
cellid_000001254-1,included
cellid_000001259-1,included
cellid_000001265-1,included
cellid_000001270-1,included
cellid_000001272-1,included
cellid_000001278-1,included
cellid_000001287-1,included
cellid_000001290-1,included
cellid_000001291-1,included
cellid_000001296-1,included
cellid_000001308-1,included
cellid_000001312-1,included
cellid_000001316-1,included
cellid_000001321-1,included
cellid_000001325-1,included
cellid_000001331-1,included
cellid_000001345-1,included
cellid_000001348-1,included
cellid_000001367-1,included
cellid_000001368-1,included
cellid_000001386-1,included
cellid_000001387-1,included
cellid_000001390-1,included
cellid_000001399-1,included
cellid_000001401-1,included
cellid_000001408-1,included
cellid_000001411-1,included
cellid_000001413-1,included
cellid_000001416-1,included
cellid_000001418-1,included
cellid_000001419-1,included
cellid_000001425-1,included
cellid_000001427-1,included
cellid_000001428-1,included
cellid_000001443-1,included
cellid_000001448-1,included
cellid_000001454-1,included
cellid_000001460-1,included
cellid_000001471-1,included
cellid_000001483-1,included
cellid_000001486-1,included
cellid_000001487-1,included
cellid_000001490-1,included
cellid_000001495-1,included
cellid_000001501-1,included
cellid_000001507-1,included
cellid_000001509-1,included
cellid_000001517-1,included
cellid_000001526-1,included
cellid_000001544-1,included
cellid_000001550-1,included
cellid_000001556-1,included
cellid_000001559-1,included
cellid_000001562-1,included
cellid_000001571-1,included
cellid_000001573-1,included
cellid_000001581-1,included
cellid_000001588-1,included
cellid_000001596-1,included
cellid_000001602-1,included
cellid_000001606-1,included
cellid_000001611-1,included
cellid_000001612-1,included
cellid_000001638-1,included
cellid_000001639-1,included
cellid_000001648-1,included
cellid_000001652-1,included
cellid_000001657-1,included
cellid_000001658-1,included
cellid_000001661-1,included
cellid_000001664-1,included
cellid_000001666-1,included
cellid_000001673-1,included
cellid_000001686-1,included
cellid_000001693-1,included
cellid_000001696-1,included
cellid_000001699-1,included
cellid_000001711-1,included
cellid_000001712-1,included
cellid_000001719-1,included
cellid_000001723-1,included
cellid_000001724-1,included
cellid_000001725-1,included
cellid_000001728-1,included
cellid_000001730-1,included
cellid_000001734-1,included
cellid_000001737-1,included
cellid_000001743-1,included
cellid_000001751-1,included
cellid_000001752-1,included
cellid_000001753-1,included
cellid_000001756-1,included
cellid_000001758-1,included
cellid_000001759-1,included
cellid_000001764-1,included
cellid_000001776-1,included
cellid_000001782-1,included
cellid_000001784-1,included
cellid_000001786-1,included
cellid_000001791-1,included
cellid_000001793-1,included
