"Barcode","res_2"
"cellid_000000008-1",NA
"cellid_000000009-1",NA
"cellid_000000010-1",NA
"cellid_000000013-1",NA
"cellid_000000014-1",NA
"cellid_000000015-1",NA
"cellid_000000016-1","28"
"cellid_000000019-1",NA
"cellid_000000020-1",NA
"cellid_000000021-1","9"
"cellid_000000023-1",NA
"cellid_000000024-1",NA
"cellid_000000027-1",NA
"cellid_000000030-1",NA
"cellid_000000032-1","4"
"cellid_000000033-1",NA
"cellid_000000036-1",NA
"cellid_000000037-1",NA
"cellid_000000038-1",NA
"cellid_000000039-1",NA
"cellid_000000041-1",NA
"cellid_000000042-1",NA
"cellid_000000043-1",NA
"cellid_000000044-1",NA
"cellid_000000045-1",NA
"cellid_000000046-1",NA
"cellid_000000047-1",NA
"cellid_000000049-1",NA
"cellid_000000050-1",NA
"cellid_000000051-1",NA
"cellid_000000053-1",NA
"cellid_000000056-1",NA
"cellid_000000058-1",NA
"cellid_000000060-1",NA
"cellid_000000061-1",NA
"cellid_000000062-1",NA
"cellid_000000063-1","22"
"cellid_000000064-1",NA
"cellid_000000067-1",NA
"cellid_000000069-1",NA
"cellid_000000072-1",NA
"cellid_000000075-1",NA
"cellid_000000076-1",NA
"cellid_000000077-1",NA
"cellid_000000078-1","18"
"cellid_000000080-1",NA
"cellid_000000082-1",NA
"cellid_000000083-1",NA
"cellid_000000084-1",NA
"cellid_000000086-1","23"
"cellid_000000087-1",NA
"cellid_000000088-1",NA
"cellid_000000089-1",NA
"cellid_000000091-1",NA
"cellid_000000093-1",NA
"cellid_000000094-1",NA
"cellid_000000095-1",NA
"cellid_000000096-1",NA
"cellid_000000098-1",NA
"cellid_000000100-1",NA
"cellid_000000101-1",NA
"cellid_000000102-1",NA
"cellid_000000103-1",NA
"cellid_000000104-1",NA
"cellid_000000105-1",NA
"cellid_000000107-1",NA
"cellid_000000108-1",NA
"cellid_000000109-1",NA
"cellid_000000110-1",NA
"cellid_000000112-1",NA
"cellid_000000113-1",NA
"cellid_000000114-1",NA
"cellid_000000115-1",NA
"cellid_000000116-1",NA
"cellid_000000118-1",NA
"cellid_000000119-1",NA
"cellid_000000120-1",NA
"cellid_000000123-1",NA
"cellid_000000124-1",NA
"cellid_000000125-1",NA
"cellid_000000129-1",NA
"cellid_000000130-1",NA
"cellid_000000131-1",NA
"cellid_000000133-1",NA
"cellid_000000134-1",NA
"cellid_000000135-1",NA
"cellid_000000136-1",NA
"cellid_000000137-1",NA
"cellid_000000138-1",NA
"cellid_000000140-1",NA
"cellid_000000143-1",NA
"cellid_000000144-1",NA
"cellid_000000145-1",NA
"cellid_000000146-1",NA
"cellid_000000147-1",NA
"cellid_000000149-1",NA
"cellid_000000150-1",NA
"cellid_000000151-1",NA
"cellid_000000153-1",NA
"cellid_000000154-1",NA
"cellid_000000155-1",NA
"cellid_000000156-1",NA
"cellid_000000157-1",NA
"cellid_000000159-1",NA
"cellid_000000160-1",NA
"cellid_000000161-1",NA
"cellid_000000162-1",NA
"cellid_000000164-1",NA
"cellid_000000165-1",NA
"cellid_000000167-1",NA
"cellid_000000168-1",NA
"cellid_000000169-1",NA
"cellid_000000171-1",NA
"cellid_000000172-1",NA
"cellid_000000174-1",NA
"cellid_000000176-1",NA
"cellid_000000178-1",NA
"cellid_000000179-1","8"
"cellid_000000180-1",NA
"cellid_000000181-1",NA
"cellid_000000182-1",NA
"cellid_000000184-1",NA
"cellid_000000185-1",NA
"cellid_000000186-1","12"
"cellid_000000187-1",NA
"cellid_000000188-1",NA
"cellid_000000189-1",NA
"cellid_000000193-1",NA
"cellid_000000194-1",NA
"cellid_000000198-1",NA
