"Barcode","multiome_predicted"
"cellid_000000007-1","6"
"cellid_000000008-1","24"
"cellid_000000009-1","24"
"cellid_000000010-1","24"
"cellid_000000011-1","24"
"cellid_000000012-1","24"
"cellid_000000013-1","24"
"cellid_000000014-1","24"
"cellid_000000015-1","24"
"cellid_000000016-1","24"
"cellid_000000017-1","24"
"cellid_000000018-1","24"
"cellid_000000020-1","24"
"cellid_000000024-1","24"
"cellid_000000026-1","0"
"cellid_000000028-1","24"
"cellid_000000032-1","24"
"cellid_000000034-1","0"
"cellid_000000036-1","0"
"cellid_000000039-1","0"
"cellid_000000042-1","0"
"cellid_000000043-1","24"
"cellid_000000044-1","24"
"cellid_000000045-1","0"
"cellid_000000046-1","24"
"cellid_000000047-1","24"
"cellid_000000050-1","3"
"cellid_000000051-1","0"
"cellid_000000052-1","6"
"cellid_000000054-1","6"
"cellid_000000055-1","0"
"cellid_000000056-1","24"
"cellid_000000057-1","24"
"cellid_000000058-1","24"
"cellid_000000060-1","0"
"cellid_000000062-1","0"
"cellid_000000063-1","24"
"cellid_000000064-1","0"
"cellid_000000065-1","0"
"cellid_000000068-1","24"
"cellid_000000069-1","0"
"cellid_000000070-1","0"
"cellid_000000071-1","24"
"cellid_000000072-1","0"
"cellid_000000073-1","24"
"cellid_000000074-1","24"
"cellid_000000077-1","0"
"cellid_000000078-1","0"
"cellid_000000079-1","24"
"cellid_000000081-1","0"
"cellid_000000083-1","24"
"cellid_000000088-1","3"
"cellid_000000091-1","0"
"cellid_000000092-1","0"
"cellid_000000094-1","24"
"cellid_000000095-1","0"
"cellid_000000096-1","24"
"cellid_000000097-1","0"
"cellid_000000099-1","24"
"cellid_000000100-1","24"
"cellid_000000101-1","0"
"cellid_000000102-1","0"
"cellid_000000103-1","0"
"cellid_000000104-1","0"
"cellid_000000105-1","24"
"cellid_000000106-1","24"
"cellid_000000108-1","0"
"cellid_000000111-1","0"
"cellid_000000112-1","0"
"cellid_000000115-1","0"
"cellid_000000116-1","24"
"cellid_000000117-1","24"
"cellid_000000118-1","0"
"cellid_000000120-1","0"
"cellid_000000121-1","0"
"cellid_000000122-1","0"
"cellid_000000125-1","0"
"cellid_000000127-1","24"
"cellid_000000128-1","0"
"cellid_000000131-1","24"
"cellid_000000132-1","24"
"cellid_000000135-1","3"
"cellid_000000137-1","0"
"cellid_000000138-1","3"
"cellid_000000139-1","6"
"cellid_000000140-1","24"
"cellid_000000143-1","0"
"cellid_000000144-1","3"
"cellid_000000145-1","0"
"cellid_000000146-1","24"
"cellid_000000148-1","24"
"cellid_000000150-1","0"
"cellid_000000155-1","0"
"cellid_000000156-1","0"
"cellid_000000157-1","0"
"cellid_000000159-1","0"
"cellid_000000160-1","3"
"cellid_000000162-1","24"
"cellid_000000163-1","0"
"cellid_000000164-1","0"
"cellid_000000166-1","0"
"cellid_000000168-1","0"
"cellid_000000169-1","24"
"cellid_000000171-1","0"
"cellid_000000172-1","0"
"cellid_000000175-1","0"
"cellid_000000176-1","0"
"cellid_000000178-1","24"
"cellid_000000181-1","0"
"cellid_000000183-1","0"
"cellid_000000185-1","24"
"cellid_000000186-1","0"
"cellid_000000187-1","0"
"cellid_000000188-1","0"
"cellid_000000189-1","0"
"cellid_000000190-1","24"
"cellid_000000191-1","0"
"cellid_000000192-1","24"
"cellid_000000194-1","3"
"cellid_000000195-1","24"
"cellid_000000197-1","0"
"cellid_000000199-1","24"
"cellid_000000200-1","0"
"cellid_000000201-1","0"
"cellid_000000203-1","0"
"cellid_000000204-1","0"
"cellid_000000205-1","0"
"cellid_000000208-1","0"
"cellid_000000209-1","0"
"cellid_000000210-1","0"
"cellid_000000212-1","0"
"cellid_000000213-1","25"
"cellid_000000214-1","0"
"cellid_000000216-1","0"
"cellid_000000219-1","24"
"cellid_000000220-1","24"
"cellid_000000221-1","24"
"cellid_000000222-1","24"
"cellid_000000223-1","24"
"cellid_000000224-1","0"
"cellid_000000225-1","24"
