"","Barcode","Coltan.DIssection","Barcode_updated"
"1","cellid_000000008-1","included","cellid_000000008-16P17"
"2","cellid_000000009-1","included","cellid_000000009-16P17"
"3","cellid_000000011-1","included","cellid_000000011-16P17"
"4","cellid_000000014-1","included","cellid_000000014-16P17"
"5","cellid_000000015-1","included","cellid_000000015-16P17"
"6","cellid_000000019-1","included","cellid_000000019-16P17"
"7","cellid_000000024-1","included","cellid_000000024-16P17"
"8","cellid_000000026-1","included","cellid_000000026-16P17"
"9","cellid_000000035-1","included","cellid_000000035-16P17"
"10","cellid_000000039-1","included","cellid_000000039-16P17"
"11","cellid_000000046-1","included","cellid_000000046-16P17"
"12","cellid_000000051-1","included","cellid_000000051-16P17"
"13","cellid_000000053-1","included","cellid_000000053-16P17"
"14","cellid_000000054-1","included","cellid_000000054-16P17"
"15","cellid_000000055-1","included","cellid_000000055-16P17"
"16","cellid_000000057-1","included","cellid_000000057-16P17"
"17","cellid_000000059-1","included","cellid_000000059-16P17"
"18","cellid_000000061-1","included","cellid_000000061-16P17"
"19","cellid_000000065-1","included","cellid_000000065-16P17"
"20","cellid_000000068-1","included","cellid_000000068-16P17"
"21","cellid_000000069-1","included","cellid_000000069-16P17"
"22","cellid_000000071-1","included","cellid_000000071-16P17"
"23","cellid_000000072-1","included","cellid_000000072-16P17"
"24","cellid_000000079-1","included","cellid_000000079-16P17"
"25","cellid_000000082-1","included","cellid_000000082-16P17"
"26","cellid_000000085-1","included","cellid_000000085-16P17"
"27","cellid_000000088-1","included","cellid_000000088-16P17"
"28","cellid_000000091-1","included","cellid_000000091-16P17"
"29","cellid_000000093-1","included","cellid_000000093-16P17"
"30","cellid_000000095-1","included","cellid_000000095-16P17"
"31","cellid_000000097-1","included","cellid_000000097-16P17"
"32","cellid_000000099-1","included","cellid_000000099-16P17"
"33","cellid_000000102-1","included","cellid_000000102-16P17"
"34","cellid_000000103-1","included","cellid_000000103-16P17"
"35","cellid_000000104-1","included","cellid_000000104-16P17"
"36","cellid_000000105-1","included","cellid_000000105-16P17"
"37","cellid_000000106-1","included","cellid_000000106-16P17"
"38","cellid_000000108-1","included","cellid_000000108-16P17"
"39","cellid_000000110-1","included","cellid_000000110-16P17"
"40","cellid_000000111-1","included","cellid_000000111-16P17"
"41","cellid_000000115-1","included","cellid_000000115-16P17"
"42","cellid_000000116-1","included","cellid_000000116-16P17"
"43","cellid_000000118-1","included","cellid_000000118-16P17"
"44","cellid_000000120-1","included","cellid_000000120-16P17"
"45","cellid_000000126-1","included","cellid_000000126-16P17"
"46","cellid_000000128-1","included","cellid_000000128-16P17"
"47","cellid_000000134-1","included","cellid_000000134-16P17"
"48","cellid_000000135-1","included","cellid_000000135-16P17"
"49","cellid_000000136-1","included","cellid_000000136-16P17"
"50","cellid_000000144-1","included","cellid_000000144-16P17"
"51","cellid_000000147-1","included","cellid_000000147-16P17"
"52","cellid_000000148-1","included","cellid_000000148-16P17"
"53","cellid_000000151-1","included","cellid_000000151-16P17"
"54","cellid_000000152-1","included","cellid_000000152-16P17"
"55","cellid_000000153-1","included","cellid_000000153-16P17"
"56","cellid_000000156-1","included","cellid_000000156-16P17"
"57","cellid_000000161-1","included","cellid_000000161-16P17"
"58","cellid_000000163-1","included","cellid_000000163-16P17"
"59","cellid_000000166-1","included","cellid_000000166-16P17"
"60","cellid_000000168-1","included","cellid_000000168-16P17"
"61","cellid_000000172-1","included","cellid_000000172-16P17"
"62","cellid_000000176-1","included","cellid_000000176-16P17"
"63","cellid_000000177-1","included","cellid_000000177-16P17"
"64","cellid_000000180-1","included","cellid_000000180-16P17"
"65","cellid_000000184-1","included","cellid_000000184-16P17"
"66","cellid_000000187-1","included","cellid_000000187-16P17"
"67","cellid_000000188-1","included","cellid_000000188-16P17"
"68","cellid_000000190-1","included","cellid_000000190-16P17"
"69","cellid_000000195-1","included","cellid_000000195-16P17"
"70","cellid_000000198-1","included","cellid_000000198-16P17"
"71","cellid_000000201-1","included","cellid_000000201-16P17"
"72","cellid_000000203-1","included","cellid_000000203-16P17"
"73","cellid_000000204-1","included","cellid_000000204-16P17"
"74","cellid_000000207-1","included","cellid_000000207-16P17"
"75","cellid_000000214-1","included","cellid_000000214-16P17"
"76","cellid_000000216-1","included","cellid_000000216-16P17"
"77","cellid_000000217-1","included","cellid_000000217-16P17"
"78","cellid_000000220-1","included","cellid_000000220-16P17"
"79","cellid_000000221-1","included","cellid_000000221-16P17"
"80","cellid_000000222-1","included","cellid_000000222-16P17"
"81","cellid_000000223-1","included","cellid_000000223-16P17"
"82","cellid_000000224-1","included","cellid_000000224-16P17"
"83","cellid_000000225-1","included","cellid_000000225-16P17"
"84","cellid_000000226-1","included","cellid_000000226-16P17"
"85","cellid_000000227-1","included","cellid_000000227-16P17"
"86","cellid_000000228-1","included","cellid_000000228-16P17"
"87","cellid_000000229-1","included","cellid_000000229-16P17"
"88","cellid_000000230-1","included","cellid_000000230-16P17"
"89","cellid_000000231-1","included","cellid_000000231-16P17"
"90","cellid_000000232-1","included","cellid_000000232-16P17"
"91","cellid_000000233-1","included","cellid_000000233-16P17"
"92","cellid_000000234-1","included","cellid_000000234-16P17"
"93","cellid_000000235-1","included","cellid_000000235-16P17"
"94","cellid_000000236-1","included","cellid_000000236-16P17"
"95","cellid_000000237-1","included","cellid_000000237-16P17"
"96","cellid_000000238-1","included","cellid_000000238-16P17"
"97","cellid_000000239-1","included","cellid_000000239-16P17"
"98","cellid_000000240-1","included","cellid_000000240-16P17"
"99","cellid_000000241-1","included","cellid_000000241-16P17"
"100","cellid_000000242-1","included","cellid_000000242-16P17"
"101","cellid_000000243-1","included","cellid_000000243-16P17"
"102","cellid_000000244-1","included","cellid_000000244-16P17"
"103","cellid_000000245-1","included","cellid_000000245-16P17"
"104","cellid_000000246-1","included","cellid_000000246-16P17"
"105","cellid_000000247-1","included","cellid_000000247-16P17"
"106","cellid_000000248-1","included","cellid_000000248-16P17"
"107","cellid_000000249-1","included","cellid_000000249-16P17"
"108","cellid_000000250-1","included","cellid_000000250-16P17"
"109","cellid_000000251-1","included","cellid_000000251-16P17"
"110","cellid_000000252-1","included","cellid_000000252-16P17"
"111","cellid_000000253-1","included","cellid_000000253-16P17"
"112","cellid_000000254-1","included","cellid_000000254-16P17"
"113","cellid_000000255-1","included","cellid_000000255-16P17"
"114","cellid_000000256-1","included","cellid_000000256-16P17"
