"Barcode","Seurat_res0.2","Seurat_res0.4","Sample","Slice","Sex","Region"
"cellid_000000008-1","c_06","c_07","M_1_4P10","4P10","M","Dm"
"cellid_000000009-1","c_07","c_06","M_1_4P10","4P10","M","Dm"
"cellid_000000010-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000011-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000012-1","c_05","c_14","M_1_4P10","4P10","M","Dm"
"cellid_000000013-1","c_06","c_07","M_1_4P10","4P10","M","Dm"
"cellid_000000014-1","c_07","c_06","M_1_4P10","4P10","M","Dm"
"cellid_000000015-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000016-1","c_16","c_27","M_1_4P10","4P10","M","Dm"
"cellid_000000017-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000018-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000019-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000020-1","c_01","c_03","M_1_4P10","4P10","M","Dc"
"cellid_000000021-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000022-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000023-1","c_01","c_16","M_1_4P10","4P10","M","Dm"
"cellid_000000024-1","c_01","c_29","M_1_4P10","4P10","M","Dm"
"cellid_000000025-1","c_04","c_04","M_1_4P10","4P10","M","Dm"
"cellid_000000026-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000027-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000028-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000029-1","c_05","c_14","M_1_4P10","4P10","M","Dm"
"cellid_000000030-1","c_12","c_11","M_1_4P10","4P10","M","Dm"
"cellid_000000031-1","c_04","c_15","M_1_4P10","4P10","M","none"
"cellid_000000032-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000033-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000035-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000036-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000037-1","c_01","c_29","M_1_4P10","4P10","M","Dm"
"cellid_000000038-1","c_01","c_08","M_1_4P10","4P10","M","Dm"
"cellid_000000039-1","c_03","c_24","M_1_4P10","4P10","M","Dm"
"cellid_000000040-1","c_05","c_14","M_1_4P10","4P10","M","Dm"
"cellid_000000041-1","c_01","c_25","M_1_4P10","4P10","M","Dm"
"cellid_000000042-1","c_01","c_29","M_1_4P10","4P10","M","Dm"
"cellid_000000043-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000044-1","c_06","c_07","M_1_4P10","4P10","M","Dm"
"cellid_000000045-1","c_10","c_13","M_1_4P10","4P10","M","Dm"
"cellid_000000046-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000047-1","c_10","c_13","M_1_4P10","4P10","M","Dm"
"cellid_000000048-1","c_02","c_01","M_1_4P10","4P10","M","none"
"cellid_000000049-1","c_13","c_18","M_1_4P10","4P10","M","Dm"
"cellid_000000050-1","c_13","c_18","M_1_4P10","4P10","M","Dm"
"cellid_000000051-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000052-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000053-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
"cellid_000000054-1","c_02","c_01","M_1_4P10","4P10","M","Dm"
"cellid_000000055-1","c_05","c_14","M_1_4P10","4P10","M","Dm"
"cellid_000000056-1","c_08","c_12","M_1_4P10","4P10","M","Dm"
"cellid_000000058-1","c_06","c_19","M_1_4P10","4P10","M","Dm"
"cellid_000000059-1","c_04","c_15","M_1_4P10","4P10","M","Dm"
"cellid_000000060-1","c_01","c_03","M_1_4P10","4P10","M","Dm"
"cellid_000000061-1","c_01","c_02","M_1_4P10","4P10","M","Dm"
