"","X","gene","gene_name","type","f_m_estimate","f_m_p.value","d_m_estimate","d_m_p.value","d_f_estimate","d_f_p.value","av_p.value","warning","singular","av_q.value","cluster","full_label","first_word","second_word","short_label"
"103",1621,"ptprfa","protein tyrosine phosphatase receptor type Fa","intracellular signaling",0.719973995,2.94e-07,0.466809222,0.001525885,-0.253164773,0.053779163,1.91e-06,NA,FALSE,0.000177928,6,"Early upregulated, no rebound","Early","Upregulated","Early Upregulated"
"104",2095,"nudt4a","nudix (nucleoside diphosphate linked moiety X)-type motif 4a","intracellular signaling",0.630855783,5.71e-30,0.942009247,7.99e-127,0.311153464,3.54e-16,5.7e-142,NA,FALSE,6.36e-140,6,"Transiently upregulated, reduced rebound","Transiently","Upregulated","Transiently Upregulated"
"105",3608,"tacr3a","tachykinin receptor 3a","neuropeptide receptor",-0.889628262,0.004678862,0.461472619,0.073580224,1.351100881,2.95e-06,1.76e-05,NA,FALSE,0.001614388,6,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"106",4610,"LOC111565100","G-protein coupled receptor 22-like","intracellular signaling",1.298039403,1.83e-05,-0.421161664,0.26523351,-1.719201067,5.41e-08,4.25e-09,NA,FALSE,4.05e-07,6,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"107",6373,"si:dkey-178e17.1","tricarboxylate transport protein B, mitochondrial","metabolism",-2.034918163,0.000316367,-1.951465418,0.000550239,0.083452745,0.908343846,2.53e-05,NA,FALSE,0.002285358,6,"Early downregulated, no rebound","Early","Downregulated","Early Downregulated"
"108",7102,"LOC111562717","unconventional myosin-Ic","transport",-0.980674478,8.41e-05,-0.661765154,0.005431427,0.318909324,0.224230987,0.000203433,NA,FALSE,0.0169657,6,"Early downregulated, no rebound","Early","Downregulated","Early Downregulated"
"109",7265,"pgr","progesterone receptor","hormone receptor",0.572198013,0.032576936,-0.704662991,0.02490574,-1.276861004,1.18e-05,5.83e-05,NA,FALSE,0.005127317,6,"Transiently downregulated, high rebound","Transiently","Downregulated","Transiently Downregulated"
"110",8955,"LOC111577100","urokinase plasminogen activator surface receptor-like","neuropeptide receptor",0.844751837,0.043348098,-1.326458988,0.005612378,-2.171210825,1.51e-06,9.38e-06,NA,FALSE,0.000864676,6,"Transiently downregulated, high rebound","Transiently","Downregulated","Transiently Downregulated"
"111",9213,"bcan","brevican","extracellular matrix",-1.147876915,0.001125357,0.142108561,0.649130079,1.289985475,0.000129683,0.000307392,NA,FALSE,0.025264072,6,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"112",9927,"LOC111587111","low-density lipoprotein receptor-related protein 8-like","cholesterol",0.363295565,0.024554089,-0.351667937,0.040279887,-0.714963502,7.88e-06,4.33e-05,NA,FALSE,0.003871117,6,"Transiently downregulated, high rebound","Transiently","Downregulated","Transiently Downregulated"
"113",10410,"pde1cb","phosphodiesterase 1C, calmodulin-dependent b","intracellular signaling",-0.918402967,9.22e-05,-0.374233157,0.092364975,0.54416981,0.017848576,0.000457955,NA,FALSE,0.036837776,6,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"114",10961,"wdfy2","WD repeat and FYVE domain containing 2","adaptor",0.367598112,0.014155212,-0.237841615,0.15016092,-0.605439727,4.34e-05,0.000148584,NA,FALSE,0.012718752,6,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"115",12424,"chgb","Chromogranin b","secretion",0.470083501,0.020342146,-0.770939598,0.00049069,-1.241023099,1.61e-09,1.23e-08,NA,FALSE,1.17e-06,6,"Transiently downregulated, high rebound","Transiently","Downregulated","Transiently Downregulated"
"116",13285,"LOC111568069","progesterone receptor-like","hormone receptor",0.767014418,0.006419396,-0.164517212,0.620176002,-0.93153163,0.000730393,0.000631181,NA,FALSE,0.04971424,6,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"117",14775,"LOC111572204","glutathione S-transferase A-like","oxidation",3.176146626,0.001885926,0.470512899,0.702240586,-2.705633726,0.000243463,1.62e-05,NA,FALSE,0.001490006,6,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"118",15174,"sdc2","syndecan 2","extracellular matrix",0.613892138,0.002568438,-0.13945771,0.532008306,-0.753349848,0.000124867,0.00015252,NA,FALSE,0.012957953,6,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"119",15418,"LOC111580719","E3 ubiquitin-protein ligase NEURL1","protease",-0.492723001,0.01836389,-0.917628401,8.89e-05,-0.4249054,0.072279498,0.000355401,NA,FALSE,0.028999679,6,"Early downregulated, no rebound","Early","Downregulated","Early Downregulated"
"120",15930,"LOC111567620","contactin-associated protein-like 4","adhesion",-0.547741646,0.026493544,0.486493495,0.0227845,1.034235141,3.63e-06,1.79e-05,NA,FALSE,0.00162839,6,"Transiently upregulated, high rebound","Transiently","Upregulated","Transiently Upregulated"
"121",17748,"LOC111566724","potassium voltage-gated channel subfamily H member 4-like","action potential",1.186467831,0.001089158,0.018136944,0.965877758,-1.168330886,0.000515098,0.000126824,NA,FALSE,0.010980414,6,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"122",17958,"LOC111563870","carbonic anhydrase-related protein 10-like","pH",-0.359813023,0.000460361,0.043341277,0.67845328,0.4031543,4.99e-05,5.06e-05,NA,FALSE,0.004487271,6,"Late_downregulated_1","Late","Downregulated","Late Downregulated"
"123",18381,"LOC111588913","neurexophilin-1","synapse",0.664391225,2.93e-05,0.319201824,0.059171201,-0.345189401,0.018146331,0.000116515,NA,FALSE,0.010126556,6,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"124",20193,"pim3","Pim-3 proto-oncogene, serine/threonine kinase","intracellular signaling",-0.433912038,0.039366071,-1.006028462,5.54e-05,-0.572116423,0.022461586,0.000270876,NA,FALSE,0.022343784,6,"Transiently downregulated, reduced rebound","Transiently","Downregulated","Transiently Downregulated"
"125",20860,"drd3","dopamine receptor D3","neuromodulator receptor",1.500456382,0.001158777,0.291108613,0.58614953,-1.209347769,0.001499735,0.000192566,NA,FALSE,0.016118706,6,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"126",21007,"LOC111585095","dermatan sulfate epimerase like","extracellular matrix",0.463966802,0.006168217,-0.267078584,0.167205196,-0.731045386,1.6e-05,3.8e-05,NA,FALSE,0.003410578,6,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"127",22054,"LOC111571714","FERM and PDZ domain-containing protein 4-like","intracellular signaling",1.059999138,5.53e-05,-0.263066067,0.37143296,-1.323065205,1.53e-07,6.47e-08,NA,FALSE,6.09e-06,6,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"253",1597,"LOC111576154","shisa-like-2A","transcription factor",0.610380222,0.001309754,-0.04606008,0.828916018,-0.656440302,0.000286766,0.00015172,NA,TRUE,0.012938428,6,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"254",1903,"ell","elongation factor RNA polymerase II","transcription factor",-0.826828096,0.000147142,-0.556136108,0.008014847,0.270691987,0.240212124,0.000376192,NA,TRUE,0.030476961,6,"Early downregulated, no rebound","Early","Downregulated","Early Downregulated"
"255",2735,"ptprz1a","protein tyrosine phosphatase receptor type Z1a","intracellular signaling",0.501519253,0.051461715,-0.581492221,0.074864386,-1.083011474,0.000169424,0.000564337,NA,TRUE,0.04476018,6,"Late upregulated_2","Late","Upregulated","Late Upregulated"
"256",3197,"LOC111568896","calpain-1 catalytic subunit-like","protease",1.191288824,0.00017509,0.657772021,0.053119951,-0.533516803,0.022648745,0.000366151,NA,TRUE,0.029769815,6,"Late upregulated_1","Late","Upregulated","Late Upregulated"
"257",3327,"mxi1","max interactor 1, dimerization protein","transcription factor",-0.341687474,0.012781645,-0.636552641,2.08e-05,-0.294865168,0.0435356,0.000103417,NA,TRUE,0.009022723,6,"Transiently downregulated, reduced rebound","Transiently","Downregulated","Transiently Downregulated"
"258",3813,"LOC111562847","teneurin-3","axon guidance",0.641324049,3.83e-08,0.167524095,0.179113481,-0.473799954,1.5e-05,1.69e-08,NA,TRUE,1.6e-06,6,"Late upregulated_1","Late","Upregulated","Late Upregulated"
