,gene,cluster
1,tal1,0
2,vax2,0
3,dkk3a,0
4,s100b,1
5,gfap,1
6,LOC111577263,1
7,,
8,mbpa,2
9,mpz,2
10,,
11,kcnt1a,3
12,myo1b,3
13,adgrd1,4
14,si:dkeyp-74b6.2,4
15,slc6a2,4
16,shox,5
17,c1ql4a,5
18,olig3,5
19,gal,6
20,avp,6
21,hmx2,6
22,gask1a,7
23,neurod1,7
24,poln,7
25,foxa2,8
26,fgf5,8
27,hs3st3l,8
28,lmx1bb,9
29,mex3a,9
30,chrdl2,9
31,kiss1,10
32,prkcq,10
33,,
34,si:dkey-148a17.6,11
35,ednrba,11
36,cmklr1,11
37,susd5,12
38,eomesa,12
39,ebf3a,12
40,aplnra,13
41,aplnrb,13
42,cspg4,13
43,,
44,npy,14
45,sst1.1,14
46,crocc2,15
47,dnah5l,15
48,,
49,gng8,16
50,synprb,16
51,rap1gapl,16
52,fgf10a,17
53,nr5a2,17
54,klf2b,17
55,myoc,18
56,trabd2b,18
57,si:dkey-247m21.3,18
58,gata2b,19
59,tfap2e,19
60,tfap2a,19
61,zbtb32,20
62,b4galnt1a,20
63,flt3,20
64,gbx1,21
65,crhbp,21
66,adamts3,21
67,syt1b,22
68,itga11b,22
69,syt5a,22
70,si:dkey-219c10.4,23
71,tmc2b,23
72,pde9ac,23
73,fat2,24
74,eps8l2,24
75,cdkn1ca,24
76,cart2,25
77,si:ch73-256g18.2,25
78,mgp,25
79,tyms,26
80,top2a,26
81,ska1,26
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,slc32a1,Subpallium
90,gad2,GABA
91,gad1a,GABA
92,tshz1,pallium
93,c1ql3b,pallium
94,slc17a6b,GLUT
95,slc17a7a,GLUT
96,elavl3,neuron
