"step","removed_gene","n_genes","cluster6_accuracy"
1,"LOC111577945",119,0.75875486381323
2,"cadm3",118,0.739299610894942
3,"LOC111569872",117,0.750972762645914
4,"ret",116,0.766536964980545
5,"scn4ba",115,0.770428015564202
6,"fxyd3",114,0.75875486381323
7,"myt1lb",113,0.762645914396887
8,"cplx2a",112,0.766536964980545
9,"LOC111565216",111,0.754863813229572
10,"si:dkey-79d12.5",110,0.750972762645914
11,"iglon5",109,0.75875486381323
12,"cadm2b",108,0.754863813229572
13,"tcf7l2",107,0.750972762645914
14,"LOC111570365",106,0.75875486381323
15,"galr1a",105,0.739299610894942
16,"cntnap1",104,0.743190661478599
17,"atp1b3a",103,0.743190661478599
18,"tead1b",102,0.712062256809339
19,"LOC111569776",101,0.727626459143969
20,"rorb",100,0.712062256809339
21,"il1rapl1b",99,0.700389105058366
22,"LOC111562453",98,0.696498054474708
