multiome_cluster,peak,chromosome,chromosome_norm,start,end,nearest_gene,distance_to_gene,nearest_feature_type,mean_logCPM_M,mean_logCPM_F,mean_logCPM_D,M_vs_F_logFC,M_vs_F_FDR,M_vs_I_logFC,M_vs_I_FDR,F_vs_I_logFC,F_vs_I_FDR,sig_M_vs_F,sig_M_vs_I,sig_F_vs_I,I_position_between_M_and_F,classification,total_counts_all_individuals,nonzero_individuals_all,mean_counts_all_individuals,max_counts_any_individual,total_counts_test_individuals,nonzero_individuals_test,mean_counts_test_individuals,max_counts_test_individual
0,NC-072784.1-1693030-1695533,NC-072784.1,NC_072784.1,1693030,1695533,igf2bp1,0,gene_body,4.846398538,3.184532306,4.150353337,1.618606244,9.40909E-05,0.52399876,0.990920229,-1.094607484,0.338281169,TRUE,FALSE,FALSE,0.41883347,Progressively Downregulated,451,23,19.60869565,47,374,19,19.68421053,47
0,NC-072769.1-1018215-1019176,NC-072769.1,NC_072769.1,1018215,1019176,dclk2a,0,gene_body,3.93038858,2.696736839,3.848449454,1.611027572,0.055262319,0.054915806,0.990920229,-1.556111766,0.266956202,TRUE,FALSE,FALSE,0.066419982,Progressively Downregulated,321,23,13.95652174,55,258,19,13.57894737,55
0,NC-072788.1-25770453-25771371,NC-072788.1,NC_072788.1,25770453,25771371,LOC111563419,0,gene_body,2.688225121,1.443445333,2.034471901,2.606922079,0.05671011,1.058649479,0.990920229,-1.548272599,0.925493366,TRUE,FALSE,FALSE,0.525195883,Progressively Downregulated,88,18,3.826086957,18,72,15,3.789473684,18
0,NC-072784.1-1683602-1684394,NC-072784.1,NC_072784.1,1683602,1684394,igf2bp1,0,gene_body,4.164381446,3.173823794,3.73718593,1.13609517,0.166871176,0.453938434,0.990920229,-0.682156736,0.925493366,TRUE,FALSE,FALSE,0.431267696,Progressively Downregulated,289,23,12.56521739,36,250,19,13.15789474,36
0,NC-072786.1-17843717-17845271,NC-072786.1,NC_072786.1,17843717,17845271,atp23,0,gene_body,3.972705283,2.972432203,3.457752914,1.277176163,0.166871176,0.550981986,0.990920229,-0.726194176,0.925493366,TRUE,FALSE,FALSE,0.514811784,Progressively Downregulated,284,23,12.34782609,34,225,19,11.84210526,34
0,NC-072769.1-5701888-5703622,NC-072769.1,NC_072769.1,5701888,5703622,dpy30,0,gene_body,3.942661445,4.789295708,3.945032143,-1.046375787,0.051861096,-0.269948571,0.990920229,0.776427216,0.402763711,TRUE,FALSE,FALSE,0.002800144,Progressively Upregulated,499,23,21.69565217,48,389,19,20.47368421,48
0,NC-072789.1-14353290-14356146,NC-072789.1,NC_072789.1,14353290,14356146,LOC129348319,6298,gene_body,3.451774093,4.431711033,4.127949144,-1.339295032,0.051861096,-1.014898251,0.990920229,0.324396781,0.976606997,TRUE,FALSE,FALSE,0.690018943,Progressively Upregulated,473,23,20.56521739,54,366,19,19.26315789,43
0,NC-072780.1-25555133-25556354,NC-072780.1,NC_072780.1,25555133,25556354,pex11b,0,gene_body,2.180038862,3.501898656,2.608090678,-1.631722104,0.166871176,-0.267279112,0.990920229,1.364442992,0.402763711,TRUE,FALSE,FALSE,0.32382543,Progressively Upregulated,179,22,7.782608696,31,146,18,7.684210526,31
1,NC-072780.1-12378696-12380561,NC-072780.1,NC_072780.1,12378696,12380561,igf2bp3,0,gene_body,5.986226496,3.73090705,5.325310764,2.328568398,3.8072E-06,0.599765262,0.997691059,-1.728803136,0.03870884,TRUE,FALSE,TRUE,0.293047503,Late Downregulated,298,22,12.95652174,29,227,18,11.94736842,26
1,NC-072772.1-19978495-19978876,NC-072772.1,NC_072772.1,19978495,19978876,pax3b,0,gene_body,3.567725565,3.098558377,4.368435768,1.139031969,0.894676509,-1.229428502,0.997691059,-2.368460471,0.091366743,FALSE,FALSE,TRUE,-1.706662835,Late Downregulated,81,21,3.52173913,12,61,17,3.210526316,11
