"","gene","transcript_length","max_expression"
"1","LOC111571736",4094,93
"2","zeb2b",3601,103
"3","shisa9a",2874,53
"4","LOC111584631",2038,62
"5","gria3b",2583,75
"6","LOC111572241",1929,68
"7","gria4b",2670,94
"8","zfhx3b",12729,59
"9","LOC111569704",2793,92
"10","gfra4a",1791,111
"11","slc4a11",2319,58
"12","slc8a1b",4041,86
"13","rtn4rl1b",2553,76
"14","slc32a1",2781,97
"15","cacna1bb",6519,73
"16","grm8a",2637,102
"17","bcl11aa",2541,43
"18","alk",6534,129
"19","atrnl1a",3936,54
"20","slc17a6b",1912,74
"21","nfixa",1500,79
"22","slc12a5a",4331,98
"23","LOC111586508",2037,75
"24","slc4a4a",3451,85
"25","gja1b",2240,101
"26","kcnd1",3117,53
"27","rras2",1809,34
"28","slco2b1",1767,11
"29","susd5",3648,23
"30","sema5bb",2661,31
"31","LOC111563809",2040,16
"32","LOC111583098",1866,27
"33","neto1l",1530,34
"34","crocc2",6077,18
"35","ttll3",3130,13
"36","rap1gapl",1989,10
"37","nr4a3",3036,18
"38","nr5a2",1446,29
"39","zic3",2538,19
"40","LOC111577964",2914,21
"41","LOC111582483",2229,21
"42","gata2b",2867,23
"43","LOC111563316",1565,55
"44","plp1b",1974,129
"45","ptprc",2055,7
"46","LOC111581922",1759,28
"47","bcl11ba",3759,26
"48","irx1a",2249,9
"49","LOC111580252",4628,14
"50","LOC111574354",2189,17
"51","pde9ac",1479,18
"52","st6galnac5a",1710,48
"53","fat2",12348,22
"54","LOC111578115",5819,13
"55","fat1a",13972,32
"56","LOC111585303",2342,20
"57","LOC111585833",2423,8
"58","LOC111562582",2439,10
"59","cenpp",1470,21
"60","kcnt1a",3435,61
"61","LOC111586745",3053,39
"62","grik1a",2649,15
"63","plch1",2850,28
"64","LOC111589158",2519,75
"65","lhx9",2189,47
"66","LOC111577378",2172,26
"67","prkd1",2803,23
"68","efna3a",1875,42
"69","zfhx4",12522,61
"70","znf536",5024,69
"71","kcnip4a",1842,73
"72","gfra3",2062,124
"73","LOC111568697",2512,41
"74","fibcd1b",2592,54
"75","soul5l",2465,81
"76","ank1a",4977,41
"77","hmx3a",2112,5
"78","hmx2",1804,5
"79","itga3b",3144,12
"80","nptx2b",2517,20
"81","hmx3b",1757,7
"82","eomesb",2672,7
"83","LOC111575676",2676,35
"84","pgr",2978,6
"85","vsnl1b",1776,51
"86","rasd2b",1605,9
"87","ush2a",18490,19
"88","sox3",2448,17
"89","islr2",3300,106
"90","LOC111572069",2616,86
"91","insm1b",2876,17
"92","gad2",1509,83
"93","carhsp1",1612,16
"94","prdm13",3071,5
"95","hlfb",2145,24
"96","fosb",2575,29
"97","LOC111568421",3103,13
"98","stxbp1a",1800,69
"99","LOC111562453",2112,96
"100","il1rapl1b",2327,73
"101","rorb",1539,30
"102","LOC111569776",2502,82
"103","tead1b",1503,26
"104","atp1b3a",2040,69
"105","cntnap1",3369,47
"106","galr1a",2253,22
"107","LOC111570365",4164,42
"108","tcf7l2",1606,133
"109","cadm2b",2400,61
"110","iglon5",1574,40
"111","si:dkey-79d12.5",1996,16
"112","LOC111565216",2655,9
"113","cplx2a",1697,97
"114","myt1lb",3414,29
"115","fxyd3",1467,17
"116","scn4ba",1902,29
"117","tshz1",4590,16
"118","ccdc80",3064,7
"119","ntng1a",2523,59
"120","LOC111577263",2718,138
