cluster_id,peak,chromosome,chromosome_norm,start,end,nearest_gene,distance_to_gene,nearest_feature_type,mean_logCPM_M,mean_logCPM_F,mean_logCPM_D,M_vs_F_logFC,M_vs_F_FDR,M_vs_D_logFC,M_vs_D_FDR,F_vs_D_logFC,F_vs_D_FDR,sig_M_vs_F,sig_M_vs_D,sig_F_vs_D,D_position_between_M_and_F,classification,total_counts_all_individuals,nonzero_individuals_all,mean_counts_all_individuals,max_counts_any_individual,total_counts_test_individuals,nonzero_individuals_test,mean_counts_test_individuals,max_counts_test_individual
0,NC-072784.1-1693030-1695533,NC-072784.1,NC_072784.1,1693030,1695533,igf2bp1,0,gene_body,4.8463985383,3.1845323062,4.1503533374,1.6186062436,0.0000940909,0.5239987601,0.9909202291,-1.0946074835,0.3382811689,TRUE,FALSE,FALSE,0.4188334702,Progressively Downregulated,451,23,19.6086956522,47,374,19,19.6842105263,47
0,NC-072769.1-1018215-1019176,NC-072769.1,NC_072769.1,1018215,1019176,dclk2a,0,gene_body,3.9303885803,2.6967368387,3.8484494537,1.6110275720,0.0552623190,0.0549158060,0.9909202291,-1.5561117660,0.2669562015,TRUE,FALSE,FALSE,0.0664199821,Progressively Downregulated,321,23,13.9565217391,55,258,19,13.5789473684,55
0,NC-072788.1-25770453-25771371,NC-072788.1,NC_072788.1,25770453,25771371,LOC111563419,0,gene_body,2.6882251214,1.4434453328,2.0344719008,2.6069220785,0.0567101100,1.0586494794,0.9909202291,-1.5482725991,0.9254933661,TRUE,FALSE,FALSE,0.5251958833,Progressively Downregulated,88,18,3.8260869565,18,72,15,3.7894736842,18
0,NC-072784.1-1683602-1684394,NC-072784.1,NC_072784.1,1683602,1684394,igf2bp1,0,gene_body,4.1643814461,3.1738237939,3.7371859296,1.1360951702,0.1668711761,0.4539384343,0.9909202291,-0.6821567359,0.9254933661,TRUE,FALSE,FALSE,0.4312676961,Progressively Downregulated,289,23,12.5652173913,36,250,19,13.1578947368,36
0,NC-072786.1-17843717-17845271,NC-072786.1,NC_072786.1,17843717,17845271,atp23,0,gene_body,3.9727052833,2.9724322026,3.4577529140,1.2771761626,0.1668711761,0.5509819864,0.9909202291,-0.7261941762,0.9254933661,TRUE,FALSE,FALSE,0.5148117841,Progressively Downregulated,284,23,12.3478260870,34,225,19,11.8421052632,34
0,NC-072769.1-5701888-5703622,NC-072769.1,NC_072769.1,5701888,5703622,dpy30,0,gene_body,3.9426614446,4.7892957075,3.9450321427,-1.0463757866,0.0518610959,-0.2699485708,0.9909202291,0.7764272158,0.4027637109,TRUE,FALSE,FALSE,0.0028001444,Progressively Upregulated,499,23,21.6956521739,48,389,19,20.4736842105,48
0,NC-072789.1-14353290-14356146,NC-072789.1,NC_072789.1,14353290,14356146,LOC129348319,6298,gene_body,3.4517740926,4.4317110327,4.1279491439,-1.3392950317,0.0518610959,-1.0148982509,0.9909202291,0.3243967808,0.9766069966,TRUE,FALSE,FALSE,0.6900189427,Progressively Upregulated,473,23,20.5652173913,54,366,19,19.2631578947,43
0,NC-072780.1-25555133-25556354,NC-072780.1,NC_072780.1,25555133,25556354,pex11b,0,gene_body,2.1800388618,3.5018986558,2.6080906778,-1.6317221039,0.1668711761,-0.2672791115,0.9909202291,1.3644429924,0.4027637109,TRUE,FALSE,FALSE,0.3238254298,Progressively Upregulated,179,22,7.7826086957,31,146,18,7.6842105263,31
1,NC-072780.1-12378696-12380561,NC-072780.1,NC_072780.1,12378696,12380561,igf2bp3,0,gene_body,5.9862264961,3.7309070500,5.3253107641,2.3285683980,0.0000038072,0.5997652616,0.9976910588,-1.7288031364,0.0387088402,TRUE,FALSE,TRUE,0.2930475029,Late Downregulated,298,22,12.9565217391,29,227,18,11.9473684211,26
1,NC-072772.1-19978495-19978876,NC-072772.1,NC_072772.1,19978495,19978876,pax3b,0,gene_body,3.5677255647,3.0985583766,4.3684357682,1.1390319687,0.8946765094,-1.2294285022,0.9976910588,-2.3684604709,0.0913667434,FALSE,FALSE,TRUE,-1.7066628352,Late Downregulated,81,21,3.5217391304,12,61,17,3.2105263158,11
1,NC-072787.1-15791422-15793157,NC-072787.1,NC_072787.1,15791422,15793157,spice1,12174,gene_body,6.3872778682,5.8962424310,6.6071364606,0.5322758755,0.7534116518,-0.2730126954,0.9976910588,-0.8052885709,0.1174120095,FALSE,FALSE,TRUE,-0.4477448586,Late Downregulated,762,23,33.1304347826,106,534,19,28.1052631579,63
1,NC-072785.1-15121005-15122124,NC-072785.1,NC_072785.1,15121005,15122124,tdrd9,0,gene_body,4.0174194813,3.5865651839,4.8321330741,0.8929106759,0.8897877346,-0.8346958431,0.9976910588,-1.7276065190,0.1774839617,FALSE,FALSE,TRUE,-1.8909259992,Late Downregulated,128,23,5.5652173913,14,97,19,5.1052631579,11
1,NC-072789.1-19798955-19799983,NC-072789.1,NC_072789.1,19798955,19799983,LOC111574163,0,gene_body,5.0121593690,5.3375120842,3.9159520180,-0.2810797377,0.9552644099,1.5095042287,0.8253616332,1.7905839665,0.0081364063,FALSE,FALSE,TRUE,-3.3692890815,Late Upregulated,217,23,9.4347826087,26,161,19,8.4736842105,18
1,NC-072785.1-5576698-5578863,NC-072785.1,NC_072785.1,5576698,5578863,gabrb1,0,gene_body,4.7703998686,5.4585439491,4.3721514795,-0.7298928169,0.7773376603,0.5967667643,0.9976910588,1.3266595813,0.1174120095,FALSE,FALSE,TRUE,-0.5787282060,Late Upregulated,242,23,10.5217391304,25,179,19,9.4210526316,19
1,NC-072770.1-39990230-39992845,NC-072770.1,NC_072770.1,39990230,39992845,pik3c2b,0,gene_body,6.2034146598,6.6400331514,5.9756334380,-0.5305748629,0.7253992656,0.2491476745,0.9976910588,0.7797225374,0.1658213455,FALSE,FALSE,TRUE,-0.5216939417,Late Upregulated,688,23,29.9130434783,59,501,19,26.3684210526,57
1,NC-072771.1-21615775-21617185,NC-072771.1,NC_072771.1,21615775,21617185,fam172a,0,gene_body,5.4803149666,4.2907843334,5.1174484728,1.4206289208,0.1516788285,0.4622648553,0.9976910588,-0.9583640655,0.5661092343,TRUE,FALSE,FALSE,0.3050501464,Progressively Downregulated,282,23,12.2608695652,31,196,19,10.3157894737,25
1,NC-072766.1-39392059-39393184,NC-072766.1,NC_072766.1,39392059,39393184,LOC129348612,16149,gene_body,4.7765137242,3.4214514140,4.4629281178,1.9343779237,0.1516788285,0.3767921921,0.9976910588,-1.5575857315,0.4694836325,TRUE,FALSE,FALSE,0.2314178500,Progressively Downregulated,147,22,6.3913043478,36,97,19,5.1052631579,11
