"","ensembl_gene_id","ensembl_peptide_id","ensembl_gene_id_version","external_gene_name","external_gene_source","hgnc_id","hgnc_symbol","zfin_id_id","zfin_id_symbol","mmusculus_homolog_ensembl_gene","mmusculus_homolog_associated_gene_name","mmusculus_homolog_orthology_type","mmusculus_homolog_perc_id","mmusculus_homolog_perc_id_r1","mmusculus_homolog_orthology_confidence"
"1","ENSAPEG00000000002","ENSAPEP00000000002","ENSAPEG00000000002.1","emilin1b","ZFIN",NA,NA,"ZDB-GENE-060818-36","emilin1b","ENSMUSG00000029163","Emilin1","ortholog_one2many",34.1909,40.5113,0
"2","ENSAPEG00000000002","ENSAPEP00000000003","ENSAPEG00000000002.1","emilin1b","ZFIN",NA,NA,"ZDB-GENE-060818-36","emilin1b","ENSMUSG00000029163","Emilin1","ortholog_one2many",34.1909,40.5113,0
"3","ENSAPEG00000000002","ENSAPEP00000000004","ENSAPEG00000000002.1","emilin1b","ZFIN",NA,NA,"ZDB-GENE-060818-36","emilin1b","ENSMUSG00000029163","Emilin1","ortholog_one2many",34.1909,40.5113,0
"4","ENSAPEG00000000002","ENSAPEP00000000005","ENSAPEG00000000002.1","emilin1b","ZFIN",NA,NA,"ZDB-GENE-060818-36","emilin1b","ENSMUSG00000029163","Emilin1","ortholog_one2many",34.1909,40.5113,0
"5","ENSAPEG00000000003","ENSAPEP00000000006","ENSAPEG00000000003.1","ENSAPEG00000000003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ENSAPEG00000000004","ENSAPEP00000000007","ENSAPEG00000000004.1","ENSAPEG00000000004",NA,NA,NA,NA,NA,"ENSMUSG00000035284","Vps13c","ortholog_one2many",59.7781,11.4995,0
"7","ENSAPEG00000000005","ENSAPEP00000000008","ENSAPEG00000000005.1","ENSAPEG00000000005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ENSAPEG00000000006","ENSAPEP00000000009","ENSAPEG00000000006.1","ctrb1","ZFIN",NA,NA,"ZDB-GENE-030131-1171","ctrb1","ENSMUSG00000031957","Ctrb1","ortholog_one2one",65.3992,65.3992,0
"9","ENSAPEG00000000006","ENSAPEP00000000010","ENSAPEG00000000006.1","ctrb1","ZFIN",NA,NA,"ZDB-GENE-030131-1171","ctrb1","ENSMUSG00000031957","Ctrb1","ortholog_one2one",65.3992,65.3992,0
"10","ENSAPEG00000000007","ENSAPEP00000000011","ENSAPEG00000000007.1","zgc:112160","ZFIN",NA,NA,"ZDB-GENE-050417-229","zgc:112160",NA,NA,NA,NA,NA,NA
"11","ENSAPEG00000000008","ENSAPEP00000000012","ENSAPEG00000000008.1","ENSAPEG00000000008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ENSAPEG00000000009","ENSAPEP00000000013","ENSAPEG00000000009.1","trpm1a","ZFIN",NA,NA,"ZDB-GENE-070112-1372","trpm1a",NA,NA,NA,NA,NA,NA
"13","ENSAPEG00000000010","ENSAPEP00000000014","ENSAPEG00000000010.1","tppp3","ZFIN",NA,NA,"ZDB-GENE-040426-1909","tppp3","ENSMUSG00000014846","Tppp3","ortholog_one2one",51.7766,57.9545,0
